wav_file_path	model_no	image_file_path	label	score	start_time_sec	end_time_sec	start_time	end_time	min_frequency	max_frequency	box_x1	box_x2	box_y1	box_y2
L:\SOCAL_H_65_180709_051300_df100.x\SOCAL_H_65_180709_051300_df100.x.wav	WhaleMoanDetector_10_04_24_12.pth	L:/WhaleMoanDetector_predictions/SOCAL_H_65\SOCAL_H_65_180709_051300_df100.x_second_0_to_60.png	B	0.1	0.0	9.64740676879883	2018-07-09 05:13:00	2018-07-09 05:13:09	19	59	0.0	96.47406768798828	91.45809936523438	130.611083984375
L:\SOCAL_H_65_180709_051300_df100.x\SOCAL_H_65_180709_051300_df100.x.wav	WhaleMoanDetector_10_04_24_12.pth	L:/WhaleMoanDetector_predictions/SOCAL_H_65\SOCAL_H_65_180709_051300_df100.x_second_0_to_60.png	B	0.05	49.78710021972657	59.963671875	2018-07-09 05:13:49	2018-07-09 05:13:59	20	58	497.8710021972656	599.63671875	92.39617919921875	130.13661193847656
L:\SOCAL_H_65_180709_051300_df100.x\SOCAL_H_65_180709_051300_df100.x.wav	WhaleMoanDetector_10_04_24_12.pth	L:/WhaleMoanDetector_predictions/SOCAL_H_65\SOCAL_H_65_180709_051300_df100.x_second_120_to_180.png	D	0.99	175.23082275390624	178.73058471679687	2018-07-09 18:00:25	2018-07-09 18:00:28	35	90	552.3082275390625	587.3058471679688	60.4438362121582	115.13583374023438
L:\SOCAL_H_65_180709_051300_df100.x\SOCAL_H_65_180709_051300_df100.x.wav	WhaleMoanDetector_10_04_24_12.pth	L:/WhaleMoanDetector_predictions/SOCAL_H_65\SOCAL_H_65_180709_051300_df100.x_second_120_to_180.png	B	0.21	120.0	125.69560356140137	2018-07-09 05:15:00	2018-07-09 05:15:05	13	55	0.0	56.95603561401367	94.536865234375	136.69125366210938
L:\SOCAL_H_65_180709_051300_df100.x\SOCAL_H_65_180709_051300_df100.x.wav	WhaleMoanDetector_10_04_24_12.pth	L:/WhaleMoanDetector_predictions/SOCAL_H_65\SOCAL_H_65_180709_051300_df100.x_second_120_to_180.png	40Hz	0.06	129.57162628173828	131.5259780883789	2018-07-09 05:15:09	2018-07-09 05:15:11	37	49	95.71626281738281	115.25978088378906	101.14191436767578	113.08768463134766
L:\SOCAL_H_65_180709_051300_df100.x\SOCAL_H_65_180709_051300_df100.x.wav	WhaleMoanDetector_10_04_24_12.pth	L:/WhaleMoanDetector_predictions/SOCAL_H_65\SOCAL_H_65_180709_051300_df100.x_second_180_to_240.png	D	0.97	193.86182403564453	197.0058349609375	2018-07-09 18:00:43	2018-07-09 18:00:47	38	68	138.6182403564453	170.058349609375	82.34275817871094	112.28005981445312
L:\SOCAL_H_65_180709_051300_df100.x\SOCAL_H_65_180709_051300_df100.x.wav	WhaleMoanDetector_10_04_24_12.pth	L:/WhaleMoanDetector_predictions/SOCAL_H_65\SOCAL_H_65_180709_051300_df100.x_second_180_to_240.png	B	0.44	230.11986083984374	240.01553344726562	2018-07-09 18:01:20	2018-07-09 18:01:30	25	60	501.1986083984375	600.1553344726562	89.98689270019531	124.704345703125
L:\SOCAL_H_65_180709_051300_df100.x\SOCAL_H_65_180709_051300_df100.x.wav	WhaleMoanDetector_10_04_24_12.pth	L:/WhaleMoanDetector_predictions/SOCAL_H_65\SOCAL_H_65_180709_051300_df100.x_second_180_to_240.png	A	0.12	180.82395753860473	187.56720809936525	2018-07-09 18:00:30	2018-07-09 18:00:37	73	89	8.239575386047363	75.67208099365234	60.836551666259766	76.62162780761719
L:\SOCAL_H_65_180709_051300_df100.x\SOCAL_H_65_180709_051300_df100.x.wav	WhaleMoanDetector_10_04_24_12.pth	L:/WhaleMoanDetector_predictions/SOCAL_H_65\SOCAL_H_65_180709_051300_df100.x_second_240_to_300.png	B	0.96	240.0	246.46432342529297	2018-07-09 18:01:30	2018-07-09 18:01:36	9	60	0.0	64.64323425292969	90.14897155761719	141.0
L:\SOCAL_H_65_180709_051300_df100.x\SOCAL_H_65_180709_051300_df100.x.wav	WhaleMoanDetector_10_04_24_12.pth	L:/WhaleMoanDetector_predictions/SOCAL_H_65\SOCAL_H_65_180709_051300_df100.x_second_240_to_300.png	20Hz	0.38	288.3052642822266	290.53563537597654	2018-07-09 18:02:18	2018-07-09 18:02:20	12	21	483.0526428222656	505.3563537597656	128.5991668701172	138.29693603515625
