wav_file_path	model_no	image_file_path	label	score	start_time_sec	end_time_sec	start_time	end_time	min_frequency	max_frequency	box_x1	box_x2	box_y1	box_y2
L:\SOCAL_H_65_180709_051300_df100.x\SOCAL_H_65_180709_051300_df100.x.wav	WhaleMoanDetector_10_04_24_12.pth	L:/WhaleMoanDetector_predictions/SOCAL_H_65\SOCAL_H_65_180709_051300_df100.x_second_480_to_540.png	A	0.98	515.4826416015625	531.8128601074219	2018-07-09 18:06:05	2018-07-09 18:06:21	72	90	354.826416015625	518.1286010742188	60.417022705078125	78.32041931152344
L:\SOCAL_H_65_180709_051300_df100.x\SOCAL_H_65_180709_051300_df100.x.wav	WhaleMoanDetector_10_04_24_12.pth	L:/WhaleMoanDetector_predictions/SOCAL_H_65\SOCAL_H_65_180709_051300_df100.x_second_480_to_540.png	D	0.96	530.3827453613281	533.8029968261719	2018-07-09 18:06:20	2018-07-09 18:06:23	44	70	503.82745361328125	538.0299682617188	79.58892059326172	106.1885757446289
L:\SOCAL_H_65_180709_051300_df100.x\SOCAL_H_65_180709_051300_df100.x.wav	WhaleMoanDetector_10_04_24_12.pth	L:/WhaleMoanDetector_predictions/SOCAL_H_65\SOCAL_H_65_180709_051300_df100.x_second_480_to_540.png	D	0.85	506.1097045898438	508.9059753417969	2018-07-09 18:05:56	2018-07-09 18:05:58	51	82	261.0970458984375	289.05975341796875	67.64131927490234	99.380859375
L:\SOCAL_H_65_180709_051300_df100.x\SOCAL_H_65_180709_051300_df100.x.wav	WhaleMoanDetector_10_04_24_12.pth	L:/WhaleMoanDetector_predictions/SOCAL_H_65\SOCAL_H_65_180709_051300_df100.x_second_480_to_540.png	D	0.69	492.1716644287109	495.41131591796875	2018-07-09 18:05:42	2018-07-09 18:05:45	38	65	116.71664428710938	154.1131591796875	80.42708587646484	112.31880950927734
L:\SOCAL_H_65_180709_051300_df100.x\SOCAL_H_65_180709_051300_df100.x.wav	WhaleMoanDetector_10_04_24_12.pth	L:/WhaleMoanDetector_predictions/SOCAL_H_65\SOCAL_H_65_180709_051300_df100.x_second_480_to_540.png	B	0.6	533.4947265625	539.9040649414062	2018-07-09 18:06:19	2018-07-09 18:06:29	17	42	374.921412215893	581.0406494140625	94.95809936523438	133.22366333007812
L:\SOCAL_H_65_180709_051300_df100.x\SOCAL_H_65_180709_051300_df100.x.wav	WhaleMoanDetector_10_04_24_12.pth	L:/WhaleMoanDetector_predictions/SOCAL_H_65\SOCAL_H_65_180709_051300_df100.x_second_540_to_600.png	D	0.99	594.5445983886718	598.7913635253906	2018-07-09 18:07:24	2018-07-09 18:07:28	39	79	545.4459838867188	587.9136352539062	71.28773498535156	111.10565948486328
L:\SOCAL_H_65_180709_051300_df100.x\SOCAL_H_65_180709_051300_df100.x.wav	WhaleMoanDetector_10_04_24_12.pth	L:/WhaleMoanDetector_predictions/SOCAL_H_65\SOCAL_H_65_180709_051300_df100.x_second_540_to_600.png	D	0.99	563.3140625	568.0350036621094	2018-07-09 18:06:53	2018-07-09 18:06:58	28	80	233.140625	280.35003662109375	69.52887725830078	122.10720825195312
L:\SOCAL_H_65_180709_051300_df100.x\SOCAL_H_65_180709_051300_df100.x.wav	WhaleMoanDetector_10_04_24_12.pth	L:/WhaleMoanDetector_predictions/SOCAL_H_65\SOCAL_H_65_180709_051300_df100.x_second_540_to_600.png	D	0.94	578.1183929443359	581.6921600341797	2018-07-09 18:07:08	2018-07-09 18:07:11	27	81	381.1839294433594	416.9216003417969	68.79190063476562	122.98455810546875
L:\SOCAL_H_65_180709_051300_df100.x\SOCAL_H_65_180709_051300_df100.x.wav	WhaleMoanDetector_10_04_24_12.pth	L:/WhaleMoanDetector_predictions/SOCAL_H_65\SOCAL_H_65_180709_051300_df100.x_second_540_to_600.png	B	0.48	588.391748046875	594.6334045410156	2018-07-09 18:07:18	2018-07-09 18:07:24	20	57	229.91748046875	428.3340454101562	95.73456573486328	136.16883850097656
L:\SOCAL_H_65_180709_051300_df100.x\SOCAL_H_65_180709_051300_df100.x.wav	WhaleMoanDetector_10_04_24_12.pth	L:/WhaleMoanDetector_predictions/SOCAL_H_65\SOCAL_H_65_180709_051300_df100.x_second_18120_to_18180.png	40Hz	0.88	18140.304441833498	18142.06052246094	2018-07-09 22:59:50	2018-07-09 22:59:52	53	68	203.04441833496094	220.605224609375	22.76026153564453	96.51116180419922
L:\SOCAL_H_65_180709_051300_df100.x\SOCAL_H_65_180709_051300_df100.x.wav	WhaleMoanDetector_10_04_24_12.pth	L:/WhaleMoanDetector_predictions/SOCAL_H_65\SOCAL_H_65_180709_051300_df100.x_second_18120_to_18180.png	40Hz	0.72	18138.674870300292	18140.293695068358	2018-07-09 22:59:48	2018-07-09 22:59:50	45	62	186.7487030029297	202.93695068359375	37.63611602783203	104.78388214111328
