audio_file,annotation,high_f,low_f,start_time,end_time
../labeled_data/wav\CINMS19B_d06_121030_215730.d100.x.wav,D,69,33,180188.233,180192.243
../labeled_data/wav\CINMS19B_d06_121030_215730.d100.x.wav,40Hz,55,32,222197.678,222199.181
../labeled_data/wav\CINMS19B_d06_121030_215730.d100.x.wav,D,77,36,247192.059,247195.747
../labeled_data/wav\CINMS19B_d06_121030_215730.d100.x.wav,D,66,27,254366.008,254369.624
../labeled_data/wav\CINMS19B_d06_121030_215730.d100.x.wav,D,70,28,273171.107,273175.225
../labeled_data/wav\CINMS19B_d06_121030_215730.d100.x.wav,40Hz,61,43,273661.823,273663.864
../labeled_data/wav\CINMS19B_d06_121030_215730.d100.x.wav,D,77,33,277091.713,277094.721
../labeled_data/wav\CINMS19B_d06_121030_215730.d100.x.wav,D,68,35,278392.642,278396.58
../labeled_data/wav\CINMS19B_d06_121030_215730.d100.x.wav,D,71,30,286690.13,286693.747
../labeled_data/wav\CINMS19B_d06_121030_215730.d100.x.wav,D,68,44,286780.13,286782.959
../labeled_data/wav\CINMS19B_d06_121030_215730.d100.x.wav,D,68,38,286807.302,286811.455
../labeled_data/wav\CINMS19B_d06_121030_215730.d100.x.wav,D,66,37,286835.01,286839.737
../labeled_data/wav\CINMS19B_d06_121030_215730.d100.x.wav,D,67,29,286923.685,286927.66
../labeled_data/wav\CINMS19B_d06_121030_215730.d100.x.wav,D,64,28,287710.534,287713.291
../labeled_data/wav\CINMS19B_d06_121030_215730.d100.x.wav,D,66,35,287774.903,287779.236
../labeled_data/wav\CINMS19B_d06_121030_215730.d100.x.wav,D,60,25,288077.195,288080.561
../labeled_data/wav\CINMS19B_d06_121030_215730.d100.x.wav,D,71,43,292605.251,292608.76
../labeled_data/wav\CINMS19B_d06_121030_215730.d100.x.wav,D,71,38,292622.54,292626.944
../labeled_data/wav\CINMS19B_d06_121030_215730.d100.x.wav,40Hz,54,37,292641.609,292643.363
../labeled_data/wav\CINMS19B_d06_121030_215730.d100.x.wav,D,71,39,292654.965,292659.405
../labeled_data/wav\CINMS19B_d06_121030_215730.d100.x.wav,D,68,40,292685.511,292689.593
../labeled_data/wav\CINMS19B_d06_121030_215730.d100.x.wav,D,75,36,292762.862,292766.836
../labeled_data/wav\CINMS19B_d06_121030_215730.d100.x.wav,D,76,45,292780.514,292785.205
../labeled_data/wav\CINMS19B_d06_121030_215730.d100.x.wav,40Hz,70,53,321022.821,321024.002
../labeled_data/wav\CINMS19B_d06_121030_215730.d100.x.wav,40Hz,67,48,321028.407,321029.588
../labeled_data/wav\CINMS19B_d06_121030_215730.d100.x.wav,40Hz,77,49,321034.028,321035.21
../labeled_data/wav\CINMS19B_d06_121030_215730.d100.x.wav,40Hz,70,51,321039.399,321040.724
../labeled_data/wav\CINMS19B_d06_121030_215730.d100.x.wav,40Hz,67,48,321043.373,321044.519
../labeled_data/wav\CINMS19B_d06_121030_215730.d100.x.wav,40Hz,72,55,321048.458,321049.783
../labeled_data/wav\CINMS19B_d06_121030_215730.d100.x.wav,40Hz,62,37,322683.394,322686.366
../labeled_data/wav\CINMS19B_d06_121030_215730.d100.x.wav,40Hz,49,32,338981.164,338982.882
../labeled_data/wav\CINMS19B_d06_121104_134730.d100.x.wav,40Hz,65,48,26263.987,26264.918
../labeled_data/wav\CINMS19B_d06_121104_134730.d100.x.wav,D,52,28,48564.847,48567.353
../labeled_data/wav\CINMS19B_d06_121104_134730.d100.x.wav,D,64,35,49235.036,49238.187
../labeled_data/wav\CINMS19B_d06_121104_134730.d100.x.wav,40Hz,70,54,59034.606,59035.752
../labeled_data/wav\CINMS19B_d06_121104_134730.d100.x.wav,40Hz,61,47,167847.184,167848.939
../labeled_data/wav\CINMS19B_d06_121104_134730.d100.x.wav,D,71,46,172207.325,172210.082
../labeled_data/wav\CINMS19B_d06_121104_134730.d100.x.wav,D,71,39,172314.522,172317.1
../labeled_data/wav\CINMS19B_d06_121104_134730.d100.x.wav,D,72,28,242988.713,242991.864
../labeled_data/wav\CINMS19B_d06_121104_134730.d100.x.wav,D,72,26,243062.939,243066.483
../labeled_data/wav\CINMS19B_d06_121104_134730.d100.x.wav,D,68,21,243072.964,243076.474
../labeled_data/wav\CINMS19B_d06_121104_134730.d100.x.wav,D,73,28,244943.238,244947.033
../labeled_data/wav\CINMS19B_d06_121104_134730.d100.x.wav,D,78,28,244949.146,244953.264
../labeled_data/wav\CINMS19B_d06_121104_134730.d100.x.wav,D,84,34,335735.181,335739.299
../labeled_data/wav\CINMS19B_d06_121104_134730.d100.x.wav,D,76,24,336310.302,336314.491
