audio_file,annotation,high_f,low_f,start_time,end_time
../labeled_data/wav\SOCAL26H_d01_080604_173900.d100.x.wav,20Hz,34,16,158.0,161.9860000000008
../labeled_data/wav\SOCAL26H_d01_080604_173900.d100.x.wav,20Hz,34,17,253.0,257.16999999999825
../labeled_data/wav\SOCAL26H_d01_080604_173900.d100.x.wav,20Hz,30,18,267.4269999999997,270.6830000000009
../labeled_data/wav\SOCAL26H_d01_080604_173900.d100.x.wav,20Hz,31,18,761.7249999999985,764.2479999999996
../labeled_data/wav\SOCAL26H_d01_080604_173900.d100.x.wav,20Hz,27,18,815.469000000001,817.7489999999998
../labeled_data/wav\SOCAL26H_d01_080604_173900.d100.x.wav,40Hz,86,59,128.0,128.45300000000134
../labeled_data/wav\SOCAL26H_d01_080604_173900.d100.x.wav,40Hz,79,57,157.47399999999834,158.26800000000003
../labeled_data/wav\SOCAL26H_d01_080604_173900.d100.x.wav,40Hz,75,55,249.04999999999927,249.72499999999854
../labeled_data/wav\SOCAL26H_d01_080604_173900.d100.x.wav,40Hz,80,59,275.4480000000003,276.16300000000047
../labeled_data/wav\SOCAL26H_d01_080604_173900.d100.x.wav,40Hz,78,56,317.29699999999866,317.9320000000007
../labeled_data/wav\SOCAL26H_d01_080604_173900.d100.x.wav,40Hz,87,62,388.6160000000018,389.17199999999866
../labeled_data/wav\SOCAL26H_d01_080604_173900.d100.x.wav,40Hz,83,61,400.1349999999984,400.84899999999834
../labeled_data/wav\SOCAL26H_d01_080604_173900.d100.x.wav,20Hz,31,18,845.8329999999987,848.030999999999
../labeled_data/wav\SOCAL26H_d01_080604_173900.d100.x.wav,40Hz,64,46,758.9830000000002,759.6980000000003
../labeled_data/wav\SOCAL26H_d01_080604_173900.d100.x.wav,20Hz,31,18,845.8329999999987,848.030999999999
../labeled_data/wav\SOCAL26H_d01_080604_173900.d100.x.wav,20Hz,32,16,17825.248,17828.487
../labeled_data/wav\SOCAL26H_d01_080604_173900.d100.x.wav,20Hz,29,17,18192.093,18194.11
../labeled_data/wav\SOCAL26H_d01_080604_173900.d100.x.wav,20Hz,25,14,18212.017,18213.972999999998
../labeled_data/wav\SOCAL26H_d01_080604_173900.d100.x.wav,20Hz,30,17,18224.851000000002,18226.807
../labeled_data/wav\SOCAL26H_d01_080604_173900.d100.x.wav,20Hz,25,14,18243.360999999997,18245.012000000002
