audio_file,annotation,high_f,low_f,start_time,end_time
../labeled_data/wav\SOCAL34N_sitN_090722_200000.x.wav,D,73,22,421.372,427.539
../labeled_data/wav\SOCAL34N_sitN_090722_200000.x.wav,D,66,25,430.164,434.438
../labeled_data/wav\SOCAL34N_sitN_090722_200000.x.wav,D,72,26,534.718,537.953
../labeled_data/wav\SOCAL34N_sitN_090722_200000.x.wav,D,86,28,585.035,588.76
../labeled_data/wav\SOCAL34N_sitN_090722_200000.x.wav,D,78,36,624.913,628.027
../labeled_data/wav\SOCAL34N_sitN_090722_200000.x.wav,40Hz,91,55,805.524,807.355
../labeled_data/wav\SOCAL34N_sitN_090722_200000.x.wav,D,79,38,1362.96,1367.234
../labeled_data/wav\SOCAL34N_sitN_090722_200000.x.wav,D,78,44,1418.319,1422.288
../labeled_data/wav\SOCAL34N_sitN_090722_200000.x.wav,D,86,43,1465.524,1468.576
../labeled_data/wav\SOCAL34N_sitN_090722_200000.x.wav,D,82,49,1476.33,1479.811
../labeled_data/wav\SOCAL34N_sitN_090722_200000.x.wav,D,76,44,1503.021,1506.074
../labeled_data/wav\SOCAL34N_sitN_090722_200000.x.wav,B NE Pacific,69,13,1528.367,1540.884
../labeled_data/wav\SOCAL34N_sitN_090722_200000.x.wav,D,79,25,1541.337,1546.221
../labeled_data/wav\SOCAL34N_sitN_090722_200000.x.wav,D,74,44,1558.101,1560.726
../labeled_data/wav\SOCAL34N_sitN_090722_200000.x.wav,D,90,36,1563.962,1566.771
../labeled_data/wav\SOCAL34N_sitN_090722_200000.x.wav,D,76,25,1571.594,1577.822
../labeled_data/wav\SOCAL34N_sitN_090722_200000.x.wav,D,77,39,1595.781,1598.346
../labeled_data/wav\SOCAL34N_sitN_090722_200000.x.wav,40Hz,83,39,1689.126,1690.652
../labeled_data/wav\SOCAL34N_sitN_090722_200000.x.wav,D,65,36,1792.58,1797.342
../labeled_data/wav\SOCAL34N_sitN_090722_200000.x.wav,D,76,29,1835.083,1839.54
../labeled_data/wav\SOCAL34N_sitN_090722_200000.x.wav,40Hz,93,55,2016.06,2018.014
../labeled_data/wav\SOCAL34N_sitN_090722_200000.x.wav,D,65,27,2260.823,2264.669
../labeled_data/wav\SOCAL34N_sitN_090722_200000.x.wav,D,73,26,2484.216,2487.635
../labeled_data/wav\SOCAL34N_sitN_090722_200000.x.wav,D,86,43,2504.364,2506.745
