audio_file,annotation,high_f,low_f,start_time,end_time
./audio/CC0808SB01_0815172000.wav,20Hz,39,17,6.409,11.665
./audio/CC0808SB01_0815172000.wav,20Hz,41,17,17.288,22.666
./audio/CC0808SB01_0815172000.wav,20Hz,36,17,45.157,49.68
./audio/CC0808SB01_0815172000.wav,20Hz,39,17,55.477,61.895
./audio/CC0808SB01_0815172000.wav,20Hz,38,17,82.124,89.031
./audio/CC0808SB01_0815172000.wav,20Hz,37,19,100.634,105.524
./audio/CC0808SB01_0815172000.wav,20Hz,39,17,115.905,120.672
./audio/CC0808SB01_0815172000.wav,20Hz,52,41,124.462,142.98
./audio/CC0808SB01_0815172000.wav,20Hz,37,20,145.905,150.611
./audio/CC0808SB01_0815172000.wav,20Hz,34,18,246.409,249.893
./audio/CC0808SB01_0815172000.wav,20Hz,32,18,260.405,264.133
./audio/CC0808SB01_0815172000.wav,20Hz,27,14,273.545,276.845
./audio/CC0808SB01_0815172000.wav,20Hz,35,17,317.288,320.832
./audio/CC0808SB01_0815172000.wav,20Hz,35,17,325.355,330.122
./audio/CC0808SB01_0815172000.wav,20Hz,38,19,333.117,336.478
./audio/CC0808SB01_0815172000.wav,20Hz,36,18,339.045,342.346
./audio/CC0808SB01_0815172000.wav,20Hz,34,19,348.213,351.819
./audio/CC0808SB01_0815172000.wav,20Hz,36,18,362.986,367.57
./audio/CC0808SB01_0815172000.wav,20Hz,34,19,371.176,375.515
./audio/CC0808SB01_0815172000.wav,20Hz,34,17,391.711,395.317
./audio/CC0808SB01_0815172000.wav,20Hz,34,19,410.474,414.263
./audio/CC0808SB01_0815172000.wav,20Hz,33,18,534.019,536.83
./audio/CC0808SB01_0815172000.wav,20Hz,33,18,556.96,558.914
./audio/CC0808SB01_0815172000.wav,20Hz,34,17,582.658,584.449
./audio/CC0808SB01_0815172000.wav,A,89,72,372.032,392.322
./audio/CC0808SB01_0815172000.wav,A,90,78,527.174,538.847
./audio/CC0808SB01_0815172000.wav,B,54,11,78.571,101.245
./audio/CC0808SB01_0815172000.wav,B,52,41,124.462,142.98
./audio/CC0808SB01_0815172000.wav,B,52,41,265.538,282.529
./audio/CC0808SB01_0815172000.wav,B,52,41,313.315,327.616
./audio/CC0808SB01_0815172000.wav,D,53,22,485.238,487.517
