audio_file,annotation,high_f,low_f,start_time,end_time,,
./audio/CC0808SB01_0815175000.wav,20Hz,38,20,10.076,14.232,,
./audio/CC0808SB01_0815175000.wav,20Hz,40,21,17.349,21.383,,
./audio/CC0808SB01_0815175000.wav,20Hz,40,20,26.15,31.1,,
./audio/CC0808SB01_0815175000.wav,20Hz,43,21,32.75,37.151,,
./audio/CC0808SB01_0815175000.wav,20Hz,46,20,41.857,46.502,,
./audio/CC0808SB01_0815175000.wav,20Hz,45,20,46.746,51.269,,
./audio/CC0808SB01_0815175000.wav,20Hz,33,18,142.666,147.372,,
./audio/CC0808SB01_0815175000.wav,20Hz,40,17,188.304,193.926,,
./audio/CC0808SB01_0815175000.wav,20Hz,37,17,200.955,205.233,,
./audio/CC0808SB01_0815175000.wav,20Hz,38,17,218.434,223.996,,
./audio/CC0808SB01_0815175000.wav,20Hz,35,17,241.642,247.448,,
./audio/CC0808SB01_0815175000.wav,20Hz,37,18,268.533,273.606,,
./audio/CC0808SB01_0815175000.wav,20Hz,39,17,281.918,285.89,,
./audio/CC0808SB01_0815175000.wav,20Hz,36,17,507.189,512.078,,
./audio/CC0808SB01_0815175000.wav,20Hz,39,23,513.728,517.823,,
./audio/CC0808SB01_0815175000.wav,20Hz,34,18,529.802,534.997,,
./audio/CC0808SB01_0815175000.wav,20Hz,36,15,542.44,544.773,,
./audio/CC0808SB01_0815175000.wav,20Hz,39,18,579.375,581.621,,
./audio/CC0808SB01_0815175000.wav,D,50,17,42.49072571,45.39505615,,
./audio/CC0808SB01_0815175000.wav,D,57,18,47.49063416,50.01454163,,
