audio_file,annotation,high_f,low_f,start_time,end_time
./audio/CC1907BH_DF_SB03_190712-200000.wav,B,49,17,922.788,937.823
./audio/CC1907BH_DF_SB03_190712-200000.wav,D,70,32,1016.516,1018.778
./audio/CC1907BH_DF_SB03_190712-200000.wav,B,58,30,1045.844,1060.879
./audio/CC1907BH_DF_SB03_190712-200000.wav,B,57,14,1304.354,1321.589
./audio/CC1907BH_DF_SB03_190712-200000.wav,B,57,11,1598.12,1615.722
./audio/CC1907BH_DF_SB03_190712-200000.wav,B,57,16,1725.882,1741.345
./audio/CC1907BH_DF_SB03_190712-200000.wav,B,58,11,1853.216,1871.612
./audio/CC1907BH_DF_SB03_190712-200000.wav,B,58,16,1974.438,1988.373
./audio/CC1907BH_DF_SB03_190712-200000.wav,B,58,31,2098.961,2117.357
./audio/CC1907BH_DF_SB03_190712-200000.wav,B,57,17,2223.361,2233.262
./audio/CC1907BH_DF_SB03_190712-200000.wav,B,57,16,2509.549,2527.09
./audio/CC1907BH_DF_SB03_190712-200000.wav,B,57,15,3010.259,3027.8
./audio/CC1907BH_DF_SB03_190712-200000.wav,B,58,16,3138.266,3156.417
./audio/CC1907BH_DF_SB03_190712-200000.wav,B,59,10,3273.117,3290.474
./audio/CC1907BH_DF_SB03_190712-200000.wav,B,58,15,3391.642,3409.305
