audio_file,annotation,high_f,low_f,start_time,end_time
./audio/CO20150131-014253.wav,20Hz,30,15,176.0,178.0
./audio/CO20150131-014253.wav,20Hz,33,17,217.5,219.659
./audio/CO20150131-014253.wav,20Hz,27,17,400.459,401.781
./audio/CO20150131-014253.wav,20Hz,35,19,406.0,407.244
./audio/CO20150131-014253.wav,20Hz,35,19,406.166,407.244
./audio/CO20150131-014253.wav,20Hz,28,20,410.689,411.455
./audio/CO20150131-014253.wav,20Hz,34,18,421.921,423.034
./audio/CO20150131-014253.wav,20Hz,38,25,455.657,456.979
./audio/CO20150131-014253.wav,20Hz,40,24,455.727,456.597
./audio/CO20150131-014253.wav,20Hz,36,23,457.327,458.371
./audio/CO20150131-014253.wav,20Hz,36,23,457.327,458.371
./audio/CO20150131-014253.wav,20Hz,29,18,609.624,610.529
./audio/CO20150131-014253.wav,20Hz,31,18,619.645,620.654
./audio/CO20150131-014253.wav,20Hz,34,18,628.0,630.285
./audio/CO20150131-014253.wav,20Hz,33,20,637.488,639.0
./audio/CO20150131-014253.wav,20Hz,34,20,648.0,650.0
