audio_file,annotation,high_f,low_f,start_time,end_time
./audio/DIFAR20111024_195110.wav,20Hz,38,24,55.587,57.314
./audio/DIFAR20111024_195110.wav,20Hz,32,16,38.539,40.088
./audio/DIFAR20111024_195110.wav,20Hz,38,24,55.691,57.296
./audio/DIFAR20111024_195110.wav,20Hz,27,16,103.098,104.978
./audio/DIFAR20111024_195110.wav,20Hz,25,16,107.412,108.698
./audio/DIFAR20111024_195110.wav,20Hz,26,16,105.371,106.803
./audio/DIFAR20111024_195110.wav,20Hz,32,15,137.992,140.236
./audio/DIFAR20111024_195110.wav,20Hz,31,15,203.979,205.679
./audio/DIFAR20111024_195110.wav,20Hz,26,16,206.227,207.46
./audio/DIFAR20111024_195110.wav,20Hz,23,13,188.651,190.318
./audio/DIFAR20111024_195110.wav,20Hz,28,18,221.728,223.491
./audio/DIFAR20111024_195110.wav,20Hz,26,16,205.341,206.141
./audio/DIFAR20111024_195110.wav,20Hz,31,16,272.329,274.316
./audio/DIFAR20111024_195110.wav,20Hz,31,16,239.143,240.457
./audio/DIFAR20111024_195110.wav,20Hz,24,13,256.854,259.072
./audio/DIFAR20111024_195110.wav,20Hz,28,17,254.058,255.421
./audio/DIFAR20111024_195110.wav,20Hz,23,13,225.068,227.282
./audio/DIFAR20111024_195110.wav,20Hz,28,19,221.607,223.426
