audio_file,annotation,high_f,low_f,start_time,end_time
./audio/DCPP01A_d01_121115_054102.d100.x.wav,B,63,22,0.324,7.627
./audio/DCPP01A_d01_121115_054102.d100.x.wav,B,66,10,26.417,60.722
./audio/DCPP01A_d01_121115_054102.d100.x.wav,A,93,69,107.395,115.1
./audio/DCPP01A_d01_121115_054102.d100.x.wav,A,90,70,117.286,130.809
./audio/DCPP01A_d01_121115_054102.d100.x.wav,B,60,19,155.59,177.206
./audio/DCPP01A_d01_121115_054102.d100.x.wav,B,64,24,179.369,186.942
./audio/DCPP01A_d01_121115_054102.d100.x.wav,A,91,73,235.568,256.436
./audio/DCPP01A_d01_121115_054102.d100.x.wav,A,92,73,257.601,278.282
./audio/DCPP01A_d01_121115_054102.d100.x.wav,B,58,22,291.567,325.594
./audio/DCPP01A_d01_121115_054102.d100.x.wav,A,91,72,356.895,375.271
./audio/DCPP01A_d01_121115_054102.d100.x.wav,A,91,71,371.323,388.908
./audio/DCPP01A_d01_121115_054102.d100.x.wav,B,64,23,404.06,416.041
./audio/DCPP01A_d01_121115_054102.d100.x.wav,A,91,73,404.66,421.638
./audio/DCPP01A_d01_121115_054102.d100.x.wav,B,60,13,417.708,439.403
./audio/DCPP01A_d01_121115_054102.d100.x.wav,B,63,18,456.349,477.926
./audio/DCPP01A_d01_121115_054102.d100.x.wav,A,93,67,476.675,497.436
./audio/DCPP01A_d01_121115_054102.d100.x.wav,A,91,73,511.151,528.423
./audio/DCPP01A_d01_121115_054102.d100.x.wav,B,65,11,526.816,543.449
./audio/DCPP01A_d01_121115_054102.d100.x.wav,A,93,69,529.591,543.309
./audio/DCPP01A_d01_121115_054102.d100.x.wav,B,66,26,577.184,597.927
./audio/DCPP01A_d01_121115_054102.d100.x.wav,A,92,72,638.764,658.083
./audio/DCPP01A_d01_121115_054102.d100.x.wav,20Hz,24,12,674.319,676.878
./audio/DCPP01A_d01_121115_054102.d100.x.wav,A,92,70,685.591,702.158
./audio/DCPP01A_d01_121115_054102.d100.x.wav,B,62,9,690.443,709.722
./audio/DCPP01A_d01_121115_054102.d100.x.wav,B,66,26,732.821,753.616
./audio/DCPP01A_d01_121115_054102.d100.x.wav,A,93,69,757.971,774.911
./audio/DCPP01A_d01_121115_054102.d100.x.wav,A,92,68,782.44,801.38
./audio/DCPP01A_d01_121115_054102.d100.x.wav,B,60,28,786.545,826.04
./audio/DCPP01A_d01_121115_054102.d100.x.wav,B,60,12,833.428,850.279
./audio/DCPP01A_d01_121115_054102.d100.x.wav,B,57,23,853.838,861.492
./audio/DCPP01A_d01_121115_054102.d100.x.wav,A,90,73,908.71,923.965
