audio_file,annotation,high_f,low_f,start_time,end_time
./audio/SOCAL26H_d01_080604_173900.d100.x.wav,40Hz,86,59,127.278,128.953
./audio/SOCAL26H_d01_080604_173900.d100.x.wav,40Hz,79,57,156.974,158.768
./audio/SOCAL26H_d01_080604_173900.d100.x.wav,20Hz,34,16,158.0,161.986
./audio/SOCAL26H_d01_080604_173900.d100.x.wav,40Hz,75,55,248.55,250.225
./audio/SOCAL26H_d01_080604_173900.d100.x.wav,20Hz,34,17,253.0,257.17
./audio/SOCAL26H_d01_080604_173900.d100.x.wav,20Hz,30,18,267.427,270.683
./audio/SOCAL26H_d01_080604_173900.d100.x.wav,40Hz,80,59,274.948,276.663
./audio/SOCAL26H_d01_080604_173900.d100.x.wav,40Hz,78,56,316.797,318.432
./audio/SOCAL26H_d01_080604_173900.d100.x.wav,40Hz,87,62,388.116,389.672
./audio/SOCAL26H_d01_080604_173900.d100.x.wav,40Hz,83,61,399.635,401.349
./audio/SOCAL26H_d01_080604_173900.d100.x.wav,20Hz,30,16,728.192,729.838
./audio/SOCAL26H_d01_080604_173900.d100.x.wav,40Hz,64,46,758.483,760.198
./audio/SOCAL26H_d01_080604_173900.d100.x.wav,20Hz,31,18,761.725,764.248
./audio/SOCAL26H_d01_080604_173900.d100.x.wav,20Hz,27,18,815.469,817.749
./audio/SOCAL26H_d01_080604_173900.d100.x.wav,20Hz,31,18,845.833,848.031
./audio/SOCAL26H_d01_080604_173900.d100.x.wav,40Hz,71,56,2299.548,2301.342
./audio/SOCAL26H_d01_080604_173900.d100.x.wav,40Hz,76,49,3700.786,3702.462
./audio/SOCAL26H_d01_080604_173900.d100.x.wav,40Hz,74,51,3769.684,3771.359
./audio/SOCAL26H_d01_080604_173900.d100.x.wav,40Hz,71,51,3793.987,3795.861
./audio/SOCAL26H_d01_080604_173900.d100.x.wav,40Hz,69,49,3826.109,3827.784
./audio/SOCAL26H_d01_080604_173900.d100.x.wav,40Hz,74,52,6239.454,6241.169
./audio/SOCAL26H_d01_080604_173900.d100.x.wav,40Hz,77,43,6346.545,6348.38
./audio/SOCAL26H_d01_080604_173900.d100.x.wav,40Hz,68,52,6563.747,6565.462
./audio/SOCAL26H_d01_080604_173900.d100.x.wav,40Hz,70,52,6571.532,6573.207
./audio/SOCAL26H_d01_080604_173900.d100.x.wav,40Hz,75,51,6683.827,6685.462
./audio/SOCAL26H_d01_080604_173900.d100.x.wav,40Hz,87,71,6726.722,6728.556
./audio/SOCAL26H_d01_080604_173900.d100.x.wav,40Hz,69,49,8261.287,8263.161
./audio/SOCAL26H_d01_080604_173900.d100.x.wav,40Hz,59,28,8368.633,8370.507
./audio/SOCAL26H_d01_080604_173900.d100.x.wav,40Hz,66,43,8374.63,8376.345
./audio/SOCAL26H_d01_080604_173900.d100.x.wav,40Hz,70,49,8409.145,8410.821
./audio/SOCAL26H_d01_080604_173900.d100.x.wav,20Hz,28,18,8442.698,8444.145
./audio/SOCAL26H_d01_080604_173900.d100.x.wav,40Hz,66,48,8656.956,8658.75
./audio/SOCAL26H_d01_080604_173900.d100.x.wav,40Hz,66,44,8710.138,8711.853
./audio/SOCAL26H_d01_080604_173900.d100.x.wav,40Hz,76,51,8886.825,8888.858
./audio/SOCAL26H_d01_080604_173900.d100.x.wav,40Hz,80,49,9091.89,9093.565
./audio/SOCAL26H_d01_080604_173900.d100.x.wav,40Hz,66,43,9154.313,9155.948
./audio/SOCAL26H_d01_080604_173900.d100.x.wav,40Hz,62,41,9198.743,9200.498
./audio/SOCAL26H_d01_080604_173900.d100.x.wav,40Hz,66,42,9245.253,9246.968
./audio/SOCAL26H_d01_080604_173900.d100.x.wav,40Hz,61,47,9257.217,9258.932
./audio/SOCAL26H_d01_080604_173900.d100.x.wav,40Hz,66,48,9271.929,9273.605
./audio/SOCAL26H_d01_080604_173900.d100.x.wav,40Hz,72,53,9318.981,9320.696
./audio/SOCAL26H_d01_080604_173900.d100.x.wav,40Hz,66,45,9344.599,9346.274
./audio/SOCAL26H_d01_080604_173900.d100.x.wav,40Hz,76,57,9425.848,9427.484
