audio_file,annotation,high_f,low_f,start_time,end_time
L:/SOCAL_H_65_180709_051300_df100.x\SOCAL_H_65_180709_051300_df100.x.wav,D,90,35,175,179
L:/SOCAL_H_65_180709_051300_df100.x\SOCAL_H_65_180709_051300_df100.x.wav,A,89,73,180,195
L:/SOCAL_H_65_180709_051300_df100.x\SOCAL_H_65_180709_051300_df100.x.wav,D,68,38,193,198
L:/SOCAL_H_65_180709_051300_df100.x\SOCAL_H_65_180709_051300_df100.x.wav,B,56.38323353,21.38323353,223,250
L:/SOCAL_H_65_180709_051300_df100.x\SOCAL_H_65_180709_051300_df100.x.wav,20Hz,21,11,272,275
L:/SOCAL_H_65_180709_051300_df100.x\SOCAL_H_65_180709_051300_df100.x.wav,40Hz,65,51,282,284
L:/SOCAL_H_65_180709_051300_df100.x\SOCAL_H_65_180709_051300_df100.x.wav,20Hz,20,11,283,286
L:/SOCAL_H_65_180709_051300_df100.x\SOCAL_H_65_180709_051300_df100.x.wav,20Hz,21,12,288,291
L:/SOCAL_H_65_180709_051300_df100.x\SOCAL_H_65_180709_051300_df100.x.wav,B,52.62125749,9,289,302
L:/SOCAL_H_65_180709_051300_df100.x\SOCAL_H_65_180709_051300_df100.x.wav,D,100,56,306,309
L:/SOCAL_H_65_180709_051300_df100.x\SOCAL_H_65_180709_051300_df100.x.wav,A,87,72,316,332
L:/SOCAL_H_65_180709_051300_df100.x\SOCAL_H_65_180709_051300_df100.x.wav,D,84,47,343,348
L:/SOCAL_H_65_180709_051300_df100.x\SOCAL_H_65_180709_051300_df100.x.wav,B,48,16,362,382
L:/SOCAL_H_65_180709_051300_df100.x\SOCAL_H_65_180709_051300_df100.x.wav,B,53.97754491,24.13922156,386,405
L:/SOCAL_H_65_180709_051300_df100.x\SOCAL_H_65_180709_051300_df100.x.wav,B,46.83982036,45.83982036,386,388
L:/SOCAL_H_65_180709_051300_df100.x\SOCAL_H_65_180709_051300_df100.x.wav,D,99,40,429,434
L:/SOCAL_H_65_180709_051300_df100.x\SOCAL_H_65_180709_051300_df100.x.wav,D,65,38,492,496
L:/SOCAL_H_65_180709_051300_df100.x\SOCAL_H_65_180709_051300_df100.x.wav,D,82,51,506,509
L:/SOCAL_H_65_180709_051300_df100.x\SOCAL_H_65_180709_051300_df100.x.wav,A,90,72,515,532
L:/SOCAL_H_65_180709_051300_df100.x\SOCAL_H_65_180709_051300_df100.x.wav,B,47.64820359,17,518,540
L:/SOCAL_H_65_180709_051300_df100.x\SOCAL_H_65_180709_051300_df100.x.wav,D,70,44,530,534
L:/SOCAL_H_65_180709_051300_df100.x\SOCAL_H_65_180709_051300_df100.x.wav,B,51.26497006,12.38473054,562,582
L:/SOCAL_H_65_180709_051300_df100.x\SOCAL_H_65_180709_051300_df100.x.wav,D,80,28,563,569
L:/SOCAL_H_65_180709_051300_df100.x\SOCAL_H_65_180709_051300_df100.x.wav,D,81,27,578,582
L:/SOCAL_H_65_180709_051300_df100.x\SOCAL_H_65_180709_051300_df100.x.wav,B,57,20,585,595
L:/SOCAL_H_65_180709_051300_df100.x\SOCAL_H_65_180709_051300_df100.x.wav,D,79,39,594,599
L:/SOCAL_H_65_180709_051300_df100.x\SOCAL_H_65_180709_051300_df100.x.wav,D,77,35,617,623
L:/SOCAL_H_65_180709_051300_df100.x\SOCAL_H_65_180709_051300_df100.x.wav,A,89,72,639,656
L:/SOCAL_H_65_180709_051300_df100.x\SOCAL_H_65_180709_051300_df100.x.wav,D,76,38,645,650
L:/SOCAL_H_65_180709_051300_df100.x\SOCAL_H_65_180709_051300_df100.x.wav,D,72,36,653,657
L:/SOCAL_H_65_180709_051300_df100.x\SOCAL_H_65_180709_051300_df100.x.wav,D,73,38,665,670
L:/SOCAL_H_65_180709_051300_df100.x\SOCAL_H_65_180709_051300_df100.x.wav,20Hz,20,11,668,671
L:/SOCAL_H_65_180709_051300_df100.x\SOCAL_H_65_180709_051300_df100.x.wav,D,75,32,681,686
L:/SOCAL_H_65_180709_051300_df100.x\SOCAL_H_65_180709_051300_df100.x.wav,B,48,17,688,705
L:/SOCAL_H_65_180709_051300_df100.x\SOCAL_H_65_180709_051300_df100.x.wav,D,62,35,763,767
L:/SOCAL_H_65_180709_051300_df100.x\SOCAL_H_65_180709_051300_df100.x.wav,A,88.90419162,72.90419162,774,788
L:/SOCAL_H_65_180709_051300_df100.x\SOCAL_H_65_180709_051300_df100.x.wav,D,68,34,791,795
L:/SOCAL_H_65_180709_051300_df100.x\SOCAL_H_65_180709_051300_df100.x.wav,B,52,18.71407186,821,840
L:/SOCAL_H_65_180709_051300_df100.x\SOCAL_H_65_180709_051300_df100.x.wav,B,51.26497006,19,850,874
L:/SOCAL_H_65_180709_051300_df100.x\SOCAL_H_65_180709_051300_df100.x.wav,D,64,35,860,864
L:/SOCAL_H_65_180709_051300_df100.x\SOCAL_H_65_180709_051300_df100.x.wav,D,74,29,883,889
L:/SOCAL_H_65_180709_051300_df100.x\SOCAL_H_65_180709_051300_df100.x.wav,A,88,71,902,920
L:/SOCAL_H_65_180709_051300_df100.x\SOCAL_H_65_180709_051300_df100.x.wav,B,49.90868263,20.52245509,905,929
L:/SOCAL_H_65_180709_051300_df100.x\SOCAL_H_65_180709_051300_df100.x.wav,B,57,24,950,968
L:/SOCAL_H_65_180709_051300_df100.x\SOCAL_H_65_180709_051300_df100.x.wav,B,52,20,1012,1030
L:/SOCAL_H_65_180709_051300_df100.x\SOCAL_H_65_180709_051300_df100.x.wav,A,89,71,1098,1114
L:/SOCAL_H_65_180709_051300_df100.x\SOCAL_H_65_180709_051300_df100.x.wav,B,50.36077844,17,1146,1164
L:/SOCAL_H_65_180709_051300_df100.x\SOCAL_H_65_180709_051300_df100.x.wav,B,48,22,1298,1320
L:/SOCAL_H_65_180709_051300_df100.x\SOCAL_H_65_180709_051300_df100.x.wav,B,52.28742515,20.28742515,1352,1373
L:/SOCAL_H_65_180709_051300_df100.x\SOCAL_H_65_180709_051300_df100.x.wav,D,95,24,1507,1513
L:/SOCAL_H_65_180709_051300_df100.x\SOCAL_H_65_180709_051300_df100.x.wav,D,78,28,1607,1611
L:/SOCAL_H_65_180709_051300_df100.x\SOCAL_H_65_180709_051300_df100.x.wav,A,87,72,1656,1672
L:/SOCAL_H_65_180709_051300_df100.x\SOCAL_H_65_180709_051300_df100.x.wav,D,80,26,1697,1702
L:/SOCAL_H_65_180709_051300_df100.x\SOCAL_H_65_180709_051300_df100.x.wav,B,55,22,1698,1721
L:/SOCAL_H_65_180709_051300_df100.x\SOCAL_H_65_180709_051300_df100.x.wav,D,86,27,1702,1706
L:/SOCAL_H_65_180709_051300_df100.x\SOCAL_H_65_180709_051300_df100.x.wav,B,51,18,1754,1776
L:/SOCAL_H_65_180709_051300_df100.x\SOCAL_H_65_180709_051300_df100.x.wav,A,88,71,1785,1800
L:/SOCAL_H_65_180709_051300_df100.x\SOCAL_H_65_180709_051300_df100.x.wav,B,46,9,1808,1822
L:/SOCAL_H_65_180709_051300_df100.x\SOCAL_H_65_180709_051300_df100.x.wav,B,52,21,1833,1851
L:/SOCAL_H_65_180709_051300_df100.x\SOCAL_H_65_180709_051300_df100.x.wav,40Hz,71,55,1872,1875
L:/SOCAL_H_65_180709_051300_df100.x\SOCAL_H_65_180709_051300_df100.x.wav,B,53,34,1943,1950
L:/SOCAL_H_65_180709_051300_df100.x\SOCAL_H_65_180709_051300_df100.x.wav,D,72,38,1966,1970
L:/SOCAL_H_65_180709_051300_df100.x\SOCAL_H_65_180709_051300_df100.x.wav,A,87,74,1980,1994
L:/SOCAL_H_65_180709_051300_df100.x\SOCAL_H_65_180709_051300_df100.x.wav,B,53.07335329,30.46856287,1993,2015
L:/SOCAL_H_65_180709_051300_df100.x\SOCAL_H_65_180709_051300_df100.x.wav,B,57,16,2031,2053
L:/SOCAL_H_65_180709_051300_df100.x\SOCAL_H_65_180709_051300_df100.x.wav,B,50,21,2063,2085
L:/SOCAL_H_65_180709_051300_df100.x\SOCAL_H_65_180709_051300_df100.x.wav,B,52,31,2098,2101
L:/SOCAL_H_65_180709_051300_df100.x\SOCAL_H_65_180709_051300_df100.x.wav,B,50,12,2117,2142
L:/SOCAL_H_65_180709_051300_df100.x\SOCAL_H_65_180709_051300_df100.x.wav,40Hz,71.60928144,51.26497006,2126,2129
L:/SOCAL_H_65_180709_051300_df100.x\SOCAL_H_65_180709_051300_df100.x.wav,B,47.64820359,15,2168,2193
L:/SOCAL_H_65_180709_051300_df100.x\SOCAL_H_65_180709_051300_df100.x.wav,B,52,14,2224,2245
L:/SOCAL_H_65_180709_051300_df100.x\SOCAL_H_65_180709_051300_df100.x.wav,A,89,70,2252,2270
L:/SOCAL_H_65_180709_051300_df100.x\SOCAL_H_65_180709_051300_df100.x.wav,B,54,10,2275,2289
L:/SOCAL_H_65_180709_051300_df100.x\SOCAL_H_65_180709_051300_df100.x.wav,B,31,10,2288,2300
L:/SOCAL_H_65_180709_051300_df100.x\SOCAL_H_65_180709_051300_df100.x.wav,D,79,30,2291,2297
L:/SOCAL_H_65_180709_051300_df100.x\SOCAL_H_65_180709_051300_df100.x.wav,B,52.62125749,25.04341317,2300,2318
L:/SOCAL_H_65_180709_051300_df100.x\SOCAL_H_65_180709_051300_df100.x.wav,D,80,26,2309,2313
L:/SOCAL_H_65_180709_051300_df100.x\SOCAL_H_65_180709_051300_df100.x.wav,D,87,39,2322,2328
L:/SOCAL_H_65_180709_051300_df100.x\SOCAL_H_65_180709_051300_df100.x.wav,B,46.74401198,14,2332,2354
L:/SOCAL_H_65_180709_051300_df100.x\SOCAL_H_65_180709_051300_df100.x.wav,D,79,31,2352,2357
L:/SOCAL_H_65_180709_051300_df100.x\SOCAL_H_65_180709_051300_df100.x.wav,D,70,31,2359,2365
L:/SOCAL_H_65_180709_051300_df100.x\SOCAL_H_65_180709_051300_df100.x.wav,D,78,35,2380,2385
L:/SOCAL_H_65_180709_051300_df100.x\SOCAL_H_65_180709_051300_df100.x.wav,B,53.97754491,10,2381,2404
L:/SOCAL_H_65_180709_051300_df100.x\SOCAL_H_65_180709_051300_df100.x.wav,D,76,32,2388,2394
L:/SOCAL_H_65_180709_051300_df100.x\SOCAL_H_65_180709_051300_df100.x.wav,D,95,27,2412,2419
L:/SOCAL_H_65_180709_051300_df100.x\SOCAL_H_65_180709_051300_df100.x.wav,D,71,25,2425,2430
L:/SOCAL_H_65_180709_051300_df100.x\SOCAL_H_65_180709_051300_df100.x.wav,D,55,26,2433,2438
L:/SOCAL_H_65_180709_051300_df100.x\SOCAL_H_65_180709_051300_df100.x.wav,A,88,72,2450,2461
L:/SOCAL_H_65_180709_051300_df100.x\SOCAL_H_65_180709_051300_df100.x.wav,D,79,26,2460,2466
L:/SOCAL_H_65_180709_051300_df100.x\SOCAL_H_65_180709_051300_df100.x.wav,B,62,19.16616766,2484,2515
L:/SOCAL_H_65_180709_051300_df100.x\SOCAL_H_65_180709_051300_df100.x.wav,D,80,31,2495,2500
L:/SOCAL_H_65_180709_051300_df100.x\SOCAL_H_65_180709_051300_df100.x.wav,D,89,36,2503,2507
L:/SOCAL_H_65_180709_051300_df100.x\SOCAL_H_65_180709_051300_df100.x.wav,D,94,50,2524,2529
