spectrogram_path,label,xmin,ymin,xmax,ymax
L:\WhaleMoanDetector\labeled_data\spectrograms\CalCOFI/CC0707-SB24-070710-190000_second_0_to_60.png,,,,,
L:\WhaleMoanDetector\labeled_data\spectrograms\CalCOFI/CC0707-SB24-070710-190000_second_30_to_90.png,,,,,
L:\WhaleMoanDetector\labeled_data\spectrograms\CalCOFI/CC0707-SB24-070710-190000_second_60_to_120.png,40Hz,595.0,71.0,601.0,96.0
L:\WhaleMoanDetector\labeled_data\spectrograms\CalCOFI/CC0707-SB24-070710-190000_second_90_to_150.png,40Hz,295.0,71.0,315.0,96.0
L:\WhaleMoanDetector\labeled_data\spectrograms\CalCOFI/CC0707-SB24-070710-190000_second_120_to_180.png,40Hz,0.0,71.0,14.0,96.0
L:\WhaleMoanDetector\labeled_data\spectrograms\CalCOFI/CC0707-SB24-070710-190000_second_120_to_180.png,40Hz,530.0,90.0,556.0,104.0
L:\WhaleMoanDetector\labeled_data\spectrograms\CalCOFI/CC0707-SB24-070710-190000_second_150_to_210.png,40Hz,230.0,90.0,256.0,104.0
L:\WhaleMoanDetector\labeled_data\spectrograms\CalCOFI/CC0707-SB24-070710-190000_second_180_to_240.png,,,,,
L:\WhaleMoanDetector\labeled_data\spectrograms\CalCOFI/CC0707-SB24-070710-190000_second_210_to_270.png,,,,,
L:\WhaleMoanDetector\labeled_data\spectrograms\CalCOFI/CC0707-SB24-070710-190000_second_240_to_300.png,,,,,
L:\WhaleMoanDetector\labeled_data\spectrograms\CalCOFI/CC0707-SB24-070710-190000_second_270_to_330.png,,,,,
L:\WhaleMoanDetector\labeled_data\spectrograms\CalCOFI/CC0707-SB24-070710-190000_second_300_to_360.png,,,,,
L:\WhaleMoanDetector\labeled_data\spectrograms\CalCOFI/CC0707-SB24-070710-190000_second_330_to_390.png,D,470.0,72.0,494.0,102.0
L:\WhaleMoanDetector\labeled_data\spectrograms\CalCOFI/CC0707-SB24-070710-190000_second_360_to_420.png,D,170.0,72.0,194.0,102.0
L:\WhaleMoanDetector\labeled_data\spectrograms\CalCOFI/CC0707-SB24-070710-190000_second_390_to_450.png,,,,,
L:\WhaleMoanDetector\labeled_data\spectrograms\CalCOFI/CC0707-SB24-070710-190000_second_420_to_480.png,,,,,
L:\WhaleMoanDetector\labeled_data\spectrograms\CalCOFI/CC0707-SB24-070710-190000_second_450_to_510.png,,,,,
L:\WhaleMoanDetector\labeled_data\spectrograms\CalCOFI/CC0707-SB24-070710-190000_second_480_to_540.png,,,,,
L:\WhaleMoanDetector\labeled_data\spectrograms\CalCOFI/CC0707-SB24-070710-190000_second_510_to_570.png,,,,,
L:\WhaleMoanDetector\labeled_data\spectrograms\CalCOFI/CC0707-SB24-070710-190000_second_540_to_600.png,,,,,
L:\WhaleMoanDetector\labeled_data\spectrograms\CalCOFI/CC0707-SB24-070710-190000_second_570_to_630.png,,,,,
