spectrogram_path,label,xmin,ymin,xmax,ymax
L:\WhaleMoanDetector\labeled_data\spectrograms\CalCOFI/CC0808SB01_0815181000_second_0_to_60.png,,,,,
L:\WhaleMoanDetector\labeled_data\spectrograms\CalCOFI/CC0808SB01_0815181000_second_60_to_120.png,20Hz,189.0,115.0,222.0,132.0
L:\WhaleMoanDetector\labeled_data\spectrograms\CalCOFI/CC0808SB01_0815181000_second_60_to_120.png,20Hz,266.0,111.0,315.0,132.0
L:\WhaleMoanDetector\labeled_data\spectrograms\CalCOFI/CC0808SB01_0815181000_second_60_to_120.png,20Hz,451.0,114.0,514.0,136.0
L:\WhaleMoanDetector\labeled_data\spectrograms\CalCOFI/CC0808SB01_0815181000_second_60_to_120.png,A,90.0,56.0,277.0,74.0
L:\WhaleMoanDetector\labeled_data\spectrograms\CalCOFI/CC0808SB01_0815181000_second_120_to_180.png,20Hz,66.0,109.0,136.0,132.0
L:\WhaleMoanDetector\labeled_data\spectrograms\CalCOFI/CC0808SB01_0815181000_second_120_to_180.png,20Hz,273.0,113.0,330.0,134.0
L:\WhaleMoanDetector\labeled_data\spectrograms\CalCOFI/CC0808SB01_0815181000_second_120_to_180.png,20Hz,401.0,113.0,458.0,133.0
L:\WhaleMoanDetector\labeled_data\spectrograms\CalCOFI/CC0808SB01_0815181000_second_120_to_180.png,20Hz,495.0,116.0,553.0,133.0
L:\WhaleMoanDetector\labeled_data\spectrograms\CalCOFI/CC0808SB01_0815181000_second_180_to_240.png,20Hz,64.0,112.0,128.0,134.0
L:\WhaleMoanDetector\labeled_data\spectrograms\CalCOFI/CC0808SB01_0815181000_second_180_to_240.png,20Hz,312.0,114.0,371.0,134.0
L:\WhaleMoanDetector\labeled_data\spectrograms\CalCOFI/CC0808SB01_0815181000_second_180_to_240.png,20Hz,451.0,114.0,510.0,136.0
L:\WhaleMoanDetector\labeled_data\spectrograms\CalCOFI/CC0808SB01_0815181000_second_240_to_300.png,20Hz,3.0,117.0,54.0,134.0
L:\WhaleMoanDetector\labeled_data\spectrograms\CalCOFI/CC0808SB01_0815181000_second_240_to_300.png,20Hz,111.0,115.0,171.0,134.0
L:\WhaleMoanDetector\labeled_data\spectrograms\CalCOFI/CC0808SB01_0815181000_second_240_to_300.png,20Hz,307.0,115.0,372.0,133.0
L:\WhaleMoanDetector\labeled_data\spectrograms\CalCOFI/CC0808SB01_0815181000_second_240_to_300.png,20Hz,438.0,115.0,491.0,134.0
L:\WhaleMoanDetector\labeled_data\spectrograms\CalCOFI/CC0808SB01_0815181000_second_300_to_360.png,20Hz,67.0,115.0,117.0,136.0
L:\WhaleMoanDetector\labeled_data\spectrograms\CalCOFI/CC0808SB01_0815181000_second_300_to_360.png,20Hz,187.0,115.0,234.0,134.0
L:\WhaleMoanDetector\labeled_data\spectrograms\CalCOFI/CC0808SB01_0815181000_second_300_to_360.png,20Hz,425.0,116.0,480.0,134.0
L:\WhaleMoanDetector\labeled_data\spectrograms\CalCOFI/CC0808SB01_0815181000_second_360_to_420.png,20Hz,58.0,116.0,118.0,135.0
L:\WhaleMoanDetector\labeled_data\spectrograms\CalCOFI/CC0808SB01_0815181000_second_420_to_480.png,,,,,
L:\WhaleMoanDetector\labeled_data\spectrograms\CalCOFI/CC0808SB01_0815181000_second_480_to_540.png,20Hz,105.0,112.0,166.0,134.0
L:\WhaleMoanDetector\labeled_data\spectrograms\CalCOFI/CC0808SB01_0815181000_second_480_to_540.png,20Hz,218.0,115.0,271.0,136.0
L:\WhaleMoanDetector\labeled_data\spectrograms\CalCOFI/CC0808SB01_0815181000_second_480_to_540.png,20Hz,349.0,124.0,394.0,138.0
L:\WhaleMoanDetector\labeled_data\spectrograms\CalCOFI/CC0808SB01_0815181000_second_480_to_540.png,20Hz,453.0,115.0,520.0,134.0
L:\WhaleMoanDetector\labeled_data\spectrograms\CalCOFI/CC0808SB01_0815181000_second_540_to_600.png,20Hz,81.0,110.0,137.0,136.0
