spectrogram_path,label,xmin,ymin,xmax,ymax
L:\WhaleMoanDetector\labeled_data\spectrograms\CalCOFI/CC1108_SB08_110728-204000_second_0_to_60.png,,,,,
L:\WhaleMoanDetector\labeled_data\spectrograms\CalCOFI/CC1108_SB08_110728-204000_second_60_to_120.png,,,,,
L:\WhaleMoanDetector\labeled_data\spectrograms\CalCOFI/CC1108_SB08_110728-204000_second_120_to_180.png,B,180.0,99.0,365.0,140.0
L:\WhaleMoanDetector\labeled_data\spectrograms\CalCOFI/CC1108_SB08_110728-204000_second_180_to_240.png,D,123.0,59.0,172.0,122.0
L:\WhaleMoanDetector\labeled_data\spectrograms\CalCOFI/CC1108_SB08_110728-204000_second_240_to_300.png,D,269.0,69.0,302.0,111.0
L:\WhaleMoanDetector\labeled_data\spectrograms\CalCOFI/CC1108_SB08_110728-204000_second_300_to_360.png,,,,,
L:\WhaleMoanDetector\labeled_data\spectrograms\CalCOFI/CC1108_SB08_110728-204000_second_360_to_420.png,D,80.0,71.0,116.0,110.0
L:\WhaleMoanDetector\labeled_data\spectrograms\CalCOFI/CC1108_SB08_110728-204000_second_420_to_480.png,,,,,
L:\WhaleMoanDetector\labeled_data\spectrograms\CalCOFI/CC1108_SB08_110728-204000_second_480_to_540.png,,,,,
L:\WhaleMoanDetector\labeled_data\spectrograms\CalCOFI/CC1108_SB08_110728-204000_second_540_to_600.png,,,,,
