spectrogram_path,label,xmin,ymin,xmax,ymax
..\labeled_data\spectrograms\CalCOFI\CC0707-SB01-070629-170000_second_0_to_60.png,40Hz,183,71,202,112
..\labeled_data\spectrograms\CalCOFI\CC0707-SB01-070629-170000_second_10_to_70.png,40Hz,83,71,102,112
..\labeled_data\spectrograms\CalCOFI\CC0707-SB01-070629-180000_second_30_to_90.png,40Hz,542,81,558,112
..\labeled_data\spectrograms\CalCOFI\CC0707-SB01-070629-180000_second_40_to_100.png,40Hz,442,81,458,112
..\labeled_data\spectrograms\CalCOFI\CC0707-SB01-070629-180000_second_50_to_110.png,40Hz,342,81,358,112
..\labeled_data\spectrograms\CalCOFI\CC0707-SB01-070629-180000_second_60_to_120.png,40Hz,242,81,257,112
..\labeled_data\spectrograms\CalCOFI\CC0707-SB01-070629-180000_second_70_to_130.png,40Hz,142,81,157,112
..\labeled_data\spectrograms\CalCOFI\CC0707-SB01-070629-180000_second_80_to_140.png,40Hz,41,81,57,112
..\labeled_data\spectrograms\CalCOFI\CC0707-SB01-070629-182000_second_0_to_60.png,20Hz,76,112,105,134
..\labeled_data\spectrograms\CalCOFI\CC0707-SB02-070629-211522_second_140_to_200.png,D,481,58,511,112
..\labeled_data\spectrograms\CalCOFI\CC0707-SB02-070629-211522_second_150_to_210.png,D,381,58,411,112
..\labeled_data\spectrograms\CalCOFI\CC0707-SB02-070629-211522_second_160_to_220.png,D,281,58,310,112
..\labeled_data\spectrograms\CalCOFI\CC0707-SB02-070629-211522_second_170_to_230.png,D,181,58,210,112
..\labeled_data\spectrograms\CalCOFI\CC0707-SB02-070629-211522_second_180_to_240.png,D,81,58,110,112
..\labeled_data\spectrograms\CalCOFI\CC0707-SB02-070629-212000_second_170_to_230.png,40Hz,487,78,504,104
..\labeled_data\spectrograms\CalCOFI\CC0707-SB02-070629-212000_second_180_to_240.png,40Hz,387,78,404,104
..\labeled_data\spectrograms\CalCOFI\CC0707-SB02-070629-212000_second_190_to_250.png,40Hz,287,78,304,104
..\labeled_data\spectrograms\CalCOFI\CC0707-SB02-070629-212000_second_200_to_260.png,40Hz,187,78,203,104
..\labeled_data\spectrograms\CalCOFI\CC0707-SB02-070629-212000_second_210_to_270.png,40Hz,87,78,103,104
..\labeled_data\spectrograms\CalCOFI\CC0707-SB02-070629-220000_second_250_to_310.png,40Hz,514,67,527,113
..\labeled_data\spectrograms\CalCOFI\CC0707-SB02-070629-220000_second_260_to_320.png,40Hz,414,67,427,113
..\labeled_data\spectrograms\CalCOFI\CC0707-SB02-070629-220000_second_270_to_330.png,40Hz,314,67,327,113
..\labeled_data\spectrograms\CalCOFI\CC0707-SB02-070629-220000_second_280_to_340.png,40Hz,214,67,227,113
..\labeled_data\spectrograms\CalCOFI\CC0707-SB02-070629-220000_second_290_to_350.png,40Hz,113,67,127,113
..\labeled_data\spectrograms\CalCOFI\CC0707-SB02-070629-220000_second_300_to_360.png,40Hz,13,67,27,113
..\labeled_data\spectrograms\CalCOFI\CC0707-SB03-070630-014000_second_40_to_100.png,40Hz,543,87,557,115
..\labeled_data\spectrograms\CalCOFI\CC0707-SB03-070630-014000_second_50_to_110.png,40Hz,443,87,456,115
..\labeled_data\spectrograms\CalCOFI\CC0707-SB03-070630-014000_second_60_to_120.png,40Hz,343,87,356,115
..\labeled_data\spectrograms\CalCOFI\CC0707-SB03-070630-014000_second_70_to_130.png,40Hz,242,87,256,115
..\labeled_data\spectrograms\CalCOFI\CC0707-SB03-070630-014000_second_80_to_140.png,40Hz,142,87,156,115
..\labeled_data\spectrograms\CalCOFI\CC0707-SB03-070630-014000_second_90_to_150.png,40Hz,42,87,56,115
..\labeled_data\spectrograms\CalCOFI\CC0707-SB03-070630-021000_second_140_to_200.png,D,523,74,546,124
..\labeled_data\spectrograms\CalCOFI\CC0707-SB03-070630-021000_second_150_to_210.png,D,423,74,446,124
..\labeled_data\spectrograms\CalCOFI\CC0707-SB03-070630-021000_second_160_to_220.png,D,323,74,346,124
..\labeled_data\spectrograms\CalCOFI\CC0707-SB03-070630-021000_second_170_to_230.png,D,223,74,246,124
..\labeled_data\spectrograms\CalCOFI\CC0707-SB03-070630-021000_second_180_to_240.png,D,123,74,146,124
..\labeled_data\spectrograms\CalCOFI\CC0707-SB03-070630-021000_second_190_to_250.png,D,23,74,45,124
..\labeled_data\spectrograms\CalCOFI\CC0707-SB03-070630-030000_second_0_to_60.png,40Hz,296,73,318,105
..\labeled_data\spectrograms\CalCOFI\CC0707-SB03-070630-030000_second_10_to_70.png,40Hz,196,73,218,105
..\labeled_data\spectrograms\CalCOFI\CC0707-SB03-070630-030000_second_20_to_80.png,40Hz,96,73,118,105
..\labeled_data\spectrograms\CalCOFI\CC0707-SB03-070630-031000_second_140_to_200.png,D,544,71,586,120
..\labeled_data\spectrograms\CalCOFI\CC0707-SB03-070630-031000_second_150_to_210.png,D,444,71,486,120
..\labeled_data\spectrograms\CalCOFI\CC0707-SB03-070630-031000_second_160_to_220.png,D,344,71,386,120
..\labeled_data\spectrograms\CalCOFI\CC0707-SB03-070630-031000_second_170_to_230.png,D,244,71,285,120
..\labeled_data\spectrograms\CalCOFI\CC0707-SB03-070630-031000_second_180_to_240.png,D,144,71,185,120
..\labeled_data\spectrograms\CalCOFI\CC0707-SB03-070630-031000_second_190_to_250.png,D,44,71,85,120
..\labeled_data\spectrograms\CalCOFI\CC0707-SB04-070630-185000_second_170_to_230.png,D,475,64,508,119
..\labeled_data\spectrograms\CalCOFI\CC0707-SB04-070630-185000_second_180_to_240.png,D,374,64,407,119
..\labeled_data\spectrograms\CalCOFI\CC0707-SB04-070630-185000_second_190_to_250.png,D,274,64,307,119
..\labeled_data\spectrograms\CalCOFI\CC0707-SB04-070630-185000_second_200_to_260.png,D,174,64,207,119
..\labeled_data\spectrograms\CalCOFI\CC0707-SB04-070630-185000_second_210_to_270.png,D,74,64,107,119
..\labeled_data\spectrograms\CalCOFI\CC0707-SB04-070630-192000_second_30_to_90.png,D,514,79,542,118
..\labeled_data\spectrograms\CalCOFI\CC0707-SB04-070630-192000_second_40_to_100.png,D,414,79,442,118
..\labeled_data\spectrograms\CalCOFI\CC0707-SB04-070630-192000_second_50_to_110.png,D,314,79,342,118
..\labeled_data\spectrograms\CalCOFI\CC0707-SB04-070630-192000_second_60_to_120.png,D,213,79,241,118
..\labeled_data\spectrograms\CalCOFI\CC0707-SB04-070630-192000_second_70_to_130.png,D,113,79,141,118
..\labeled_data\spectrograms\CalCOFI\CC0707-SB04-070630-192000_second_80_to_140.png,D,13,79,41,118
..\labeled_data\spectrograms\CalCOFI\CC0707-SB08-070702-165000_second_0_to_60.png,D,400,54,437,127
..\labeled_data\spectrograms\CalCOFI\CC0707-SB08-070702-165000_second_10_to_70.png,D,299,54,337,127
..\labeled_data\spectrograms\CalCOFI\CC0707-SB08-070702-165000_second_20_to_80.png,D,199,54,237,127
..\labeled_data\spectrograms\CalCOFI\CC0707-SB08-070702-165000_second_30_to_90.png,D,99,54,136,127
..\labeled_data\spectrograms\CalCOFI\CC0707-SB08-070702-170000_second_190_to_250.png,D,487,43,512,103
..\labeled_data\spectrograms\CalCOFI\CC0707-SB08-070702-170000_second_200_to_260.png,D,387,43,411,103
..\labeled_data\spectrograms\CalCOFI\CC0707-SB08-070702-170000_second_210_to_270.png,D,287,43,311,103
..\labeled_data\spectrograms\CalCOFI\CC0707-SB08-070702-170000_second_220_to_280.png,D,186,43,211,103
..\labeled_data\spectrograms\CalCOFI\CC0707-SB08-070702-170000_second_230_to_290.png,D,86,43,111,103
..\labeled_data\spectrograms\CalCOFI\CC0707-SB09-070703-000000_second_160_to_220.png,D,573,74,600,114
..\labeled_data\spectrograms\CalCOFI\CC0707-SB09-070703-000000_second_170_to_230.png,D,473,74,500,114
..\labeled_data\spectrograms\CalCOFI\CC0707-SB09-070703-000000_second_180_to_240.png,D,373,74,400,114
..\labeled_data\spectrograms\CalCOFI\CC0707-SB09-070703-000000_second_190_to_250.png,D,273,74,299,114
..\labeled_data\spectrograms\CalCOFI\CC0707-SB09-070703-000000_second_200_to_260.png,D,173,74,199,114
..\labeled_data\spectrograms\CalCOFI\CC0707-SB09-070703-000000_second_210_to_270.png,D,73,74,99,114
..\labeled_data\spectrograms\CalCOFI\CC0707-SB10-070703-191000_second_100_to_160.png,D,489,75,539,130
..\labeled_data\spectrograms\CalCOFI\CC0707-SB10-070703-191000_second_110_to_170.png,D,388,75,439,130
..\labeled_data\spectrograms\CalCOFI\CC0707-SB10-070703-191000_second_120_to_180.png,D,288,75,339,130
..\labeled_data\spectrograms\CalCOFI\CC0707-SB10-070703-191000_second_130_to_190.png,D,188,75,239,130
..\labeled_data\spectrograms\CalCOFI\CC0707-SB10-070703-191000_second_140_to_200.png,D,88,75,139,130
..\labeled_data\spectrograms\CalCOFI\CC0707-SB10-070703-202000_second_150_to_210.png,D,454,69,505,131
..\labeled_data\spectrograms\CalCOFI\CC0707-SB10-070703-202000_second_160_to_220.png,D,354,69,404,131
..\labeled_data\spectrograms\CalCOFI\CC0707-SB10-070703-202000_second_170_to_230.png,D,254,69,304,131
..\labeled_data\spectrograms\CalCOFI\CC0707-SB10-070703-202000_second_180_to_240.png,D,153,69,204,131
..\labeled_data\spectrograms\CalCOFI\CC0707-SB10-070703-202000_second_190_to_250.png,D,53,69,104,131
..\labeled_data\spectrograms\CalCOFI\CC0707-SB10-070703-205000_second_0_to_60.png,40Hz,24,67,44,103
..\labeled_data\spectrograms\CalCOFI\CC0707-SB10-070703-211000_second_0_to_60.png,40Hz,464,78,499,110
..\labeled_data\spectrograms\CalCOFI\CC0707-SB10-070703-211000_second_10_to_70.png,40Hz,364,78,399,110
..\labeled_data\spectrograms\CalCOFI\CC0707-SB10-070703-211000_second_20_to_80.png,40Hz,263,78,299,110
..\labeled_data\spectrograms\CalCOFI\CC0707-SB10-070703-211000_second_30_to_90.png,40Hz,163,78,198,110
..\labeled_data\spectrograms\CalCOFI\CC0707-SB10-070703-211000_second_40_to_100.png,40Hz,63,78,98,110
..\labeled_data\spectrograms\CalCOFI\CC0707-SB11-070704-003656_second_50_to_110.png,40Hz,515,73,540,114
