spectrogram_path,label,xmin,ymin,xmax,ymax
L:\WhaleMoanDetector\labeled_data\spectrograms\CalCOFI/CC2301RL_CO_SB22_230115-181819_second_0_to_60.png,20Hz,76.0,125.0,100.0,138.0
L:\WhaleMoanDetector\labeled_data\spectrograms\CalCOFI/CC2301RL_CO_SB22_230115-181819_second_0_to_60.png,20Hz,527.0,125.0,553.0,138.0
L:\WhaleMoanDetector\labeled_data\spectrograms\CalCOFI/CC2301RL_CO_SB22_230115-181819_second_60_to_120.png,20Hz,146.0,125.0,170.0,138.0
L:\WhaleMoanDetector\labeled_data\spectrograms\CalCOFI/CC2301RL_CO_SB22_230115-181819_second_60_to_120.png,20Hz,367.0,126.0,390.0,139.0
L:\WhaleMoanDetector\labeled_data\spectrograms\CalCOFI/CC2301RL_CO_SB22_230115-181819_second_60_to_120.png,20Hz,589.0,125.0,601.0,139.0
L:\WhaleMoanDetector\labeled_data\spectrograms\CalCOFI/CC2301RL_CO_SB22_230115-181819_second_120_to_180.png,20Hz,246.0,119.0,263.0,140.0
L:\WhaleMoanDetector\labeled_data\spectrograms\CalCOFI/CC2301RL_CO_SB22_230115-181819_second_120_to_180.png,20Hz,476.0,116.0,500.0,139.0
L:\WhaleMoanDetector\labeled_data\spectrograms\CalCOFI/CC2301RL_CO_SB22_230115-181819_second_180_to_240.png,20Hz,108.0,126.0,135.0,139.0
L:\WhaleMoanDetector\labeled_data\spectrograms\CalCOFI/CC2301RL_CO_SB22_230115-181819_second_240_to_300.png,20Hz,180.0,125.0,202.0,138.0
L:\WhaleMoanDetector\labeled_data\spectrograms\CalCOFI/CC2301RL_CO_SB22_230115-181819_second_240_to_300.png,20Hz,418.0,117.0,438.0,139.0
L:\WhaleMoanDetector\labeled_data\spectrograms\CalCOFI/CC2301RL_CO_SB22_230115-181819_second_300_to_360.png,20Hz,281.0,125.0,305.0,138.0
L:\WhaleMoanDetector\labeled_data\spectrograms\CalCOFI/CC2301RL_CO_SB22_230115-181819_second_300_to_360.png,20Hz,505.0,124.0,529.0,138.0
L:\WhaleMoanDetector\labeled_data\spectrograms\CalCOFI/CC2301RL_CO_SB22_230115-181819_second_360_to_420.png,20Hz,366.0,125.0,389.0,139.0
L:\WhaleMoanDetector\labeled_data\spectrograms\CalCOFI/CC2301RL_CO_SB22_230115-181819_second_420_to_480.png,20Hz,0.0,123.0,17.0,139.0
L:\WhaleMoanDetector\labeled_data\spectrograms\CalCOFI/CC2301RL_CO_SB22_230115-181819_second_420_to_480.png,20Hz,212.0,126.0,236.0,139.0
L:\WhaleMoanDetector\labeled_data\spectrograms\CalCOFI/CC2301RL_CO_SB22_230115-181819_second_480_to_540.png,,,,,
L:\WhaleMoanDetector\labeled_data\spectrograms\CalCOFI/CC2301RL_CO_SB22_230115-181819_second_540_to_600.png,20Hz,134.0,110.0,159.0,140.0
L:\WhaleMoanDetector\labeled_data\spectrograms\CalCOFI/CC2301RL_CO_SB22_230115-181819_second_600_to_660.png,20Hz,456.0,114.0,477.0,140.0
L:\WhaleMoanDetector\labeled_data\spectrograms\CalCOFI/CC2301RL_CO_SB22_230115-181819_second_660_to_720.png,,,,,
L:\WhaleMoanDetector\labeled_data\spectrograms\CalCOFI/CC2301RL_CO_SB22_230115-181819_second_720_to_780.png,,,,,
L:\WhaleMoanDetector\labeled_data\spectrograms\CalCOFI/CC2301RL_CO_SB22_230115-181819_second_780_to_840.png,B,284.0,104.0,379.0,138.0
L:\WhaleMoanDetector\labeled_data\spectrograms\CalCOFI/CC2301RL_CO_SB22_230115-181819_second_780_to_840.png,20Hz,210.0,125.0,231.0,140.0
L:\WhaleMoanDetector\labeled_data\spectrograms\CalCOFI/CC2301RL_CO_SB22_230115-181819_second_780_to_840.png,20Hz,434.0,119.0,456.0,140.0
L:\WhaleMoanDetector\labeled_data\spectrograms\CalCOFI/CC2301RL_CO_SB22_230115-181819_second_840_to_900.png,20Hz,60.0,117.0,82.0,140.0
L:\WhaleMoanDetector\labeled_data\spectrograms\CalCOFI/CC2301RL_CO_SB22_230115-181819_second_840_to_900.png,B,197.0,104.0,302.0,139.0
L:\WhaleMoanDetector\labeled_data\spectrograms\CalCOFI/CC2301RL_CO_SB22_230115-181819_second_840_to_900.png,20Hz,289.0,125.0,313.0,138.0
L:\WhaleMoanDetector\labeled_data\spectrograms\CalCOFI/CC2301RL_CO_SB22_230115-181819_second_840_to_900.png,20Hz,512.0,125.0,538.0,137.0
L:\WhaleMoanDetector\labeled_data\spectrograms\CalCOFI/CC2301RL_CO_SB22_230115-181819_second_900_to_960.png,B,7.0,105.0,150.0,137.0
L:\WhaleMoanDetector\labeled_data\spectrograms\CalCOFI/CC2301RL_CO_SB22_230115-181819_second_900_to_960.png,20Hz,134.0,120.0,159.0,140.0
L:\WhaleMoanDetector\labeled_data\spectrograms\CalCOFI/CC2301RL_CO_SB22_230115-181819_second_900_to_960.png,20Hz,373.0,125.0,399.0,138.0
L:\WhaleMoanDetector\labeled_data\spectrograms\CalCOFI/CC2301RL_CO_SB22_230115-181819_second_960_to_1020.png,20Hz,450.0,126.0,478.0,137.0
L:\WhaleMoanDetector\labeled_data\spectrograms\CalCOFI/CC2301RL_CO_SB22_230115-181819_second_1020_to_1080.png,20Hz,319.0,121.0,338.0,139.0
L:\WhaleMoanDetector\labeled_data\spectrograms\CalCOFI/CC2301RL_CO_SB22_230115-181819_second_1020_to_1080.png,20Hz,551.0,119.0,574.0,139.0
L:\WhaleMoanDetector\labeled_data\spectrograms\CalCOFI/CC2301RL_CO_SB22_230115-181819_second_1080_to_1140.png,20Hz,183.0,118.0,205.0,140.0
L:\WhaleMoanDetector\labeled_data\spectrograms\CalCOFI/CC2301RL_CO_SB22_230115-181819_second_1080_to_1140.png,20Hz,425.0,119.0,445.0,140.0
L:\WhaleMoanDetector\labeled_data\spectrograms\CalCOFI/CC2301RL_CO_SB22_230115-181819_second_1140_to_1200.png,20Hz,284.0,118.0,306.0,139.0
L:\WhaleMoanDetector\labeled_data\spectrograms\CalCOFI/CC2301RL_CO_SB22_230115-181819_second_1140_to_1200.png,20Hz,510.0,122.0,530.0,138.0
L:\WhaleMoanDetector\labeled_data\spectrograms\CalCOFI/CC2301RL_CO_SB22_230115-181819_second_1200_to_1260.png,20Hz,139.0,118.0,163.0,139.0
L:\WhaleMoanDetector\labeled_data\spectrograms\CalCOFI/CC2301RL_CO_SB22_230115-181819_second_1200_to_1260.png,20Hz,383.0,120.0,405.0,139.0
L:\WhaleMoanDetector\labeled_data\spectrograms\CalCOFI/CC2301RL_CO_SB22_230115-181819_second_1260_to_1320.png,20Hz,220.0,126.0,245.0,137.0
L:\WhaleMoanDetector\labeled_data\spectrograms\CalCOFI/CC2301RL_CO_SB22_230115-181819_second_1320_to_1380.png,,,,,
L:\WhaleMoanDetector\labeled_data\spectrograms\CalCOFI/CC2301RL_CO_SB22_230115-181819_second_1380_to_1440.png,20Hz,140.0,122.0,163.0,138.0
L:\WhaleMoanDetector\labeled_data\spectrograms\CalCOFI/CC2301RL_CO_SB22_230115-181819_second_1440_to_1500.png,,,,,
L:\WhaleMoanDetector\labeled_data\spectrograms\CalCOFI/CC2301RL_CO_SB22_230115-181819_second_1500_to_1560.png,,,,,
L:\WhaleMoanDetector\labeled_data\spectrograms\CalCOFI/CC2301RL_CO_SB22_230115-181819_second_1560_to_1620.png,20Hz,294.0,115.0,317.0,138.0
L:\WhaleMoanDetector\labeled_data\spectrograms\CalCOFI/CC2301RL_CO_SB22_230115-181819_second_1560_to_1620.png,20Hz,526.0,118.0,548.0,140.0
L:\WhaleMoanDetector\labeled_data\spectrograms\CalCOFI/CC2301RL_CO_SB22_230115-181819_second_1620_to_1680.png,20Hz,148.0,116.0,170.0,139.0
L:\WhaleMoanDetector\labeled_data\spectrograms\CalCOFI/CC2301RL_CO_SB22_230115-181819_second_1680_to_1740.png,20Hz,230.0,119.0,254.0,138.0
L:\WhaleMoanDetector\labeled_data\spectrograms\CalCOFI/CC2301RL_CO_SB22_230115-181819_second_1680_to_1740.png,20Hz,461.0,120.0,485.0,139.0
L:\WhaleMoanDetector\labeled_data\spectrograms\CalCOFI/CC2301RL_CO_SB22_230115-181819_second_1740_to_1800.png,20Hz,76.0,117.0,99.0,139.0
L:\WhaleMoanDetector\labeled_data\spectrograms\CalCOFI/CC2301RL_CO_SB22_230115-181819_second_1740_to_1800.png,20Hz,312.0,125.0,334.0,137.0
L:\WhaleMoanDetector\labeled_data\spectrograms\CalCOFI/CC2301RL_CO_SB22_230115-181819_second_1740_to_1800.png,20Hz,537.0,119.0,561.0,139.0
L:\WhaleMoanDetector\labeled_data\spectrograms\CalCOFI/CC2301RL_CO_SB22_230115-181819_second_1800_to_1860.png,20Hz,154.0,117.0,177.0,139.0
L:\WhaleMoanDetector\labeled_data\spectrograms\CalCOFI/CC2301RL_CO_SB22_230115-181819_second_1800_to_1860.png,20Hz,385.0,117.0,407.0,139.0
L:\WhaleMoanDetector\labeled_data\spectrograms\CalCOFI/CC2301RL_CO_SB22_230115-181819_second_1860_to_1920.png,,,,,
L:\WhaleMoanDetector\labeled_data\spectrograms\CalCOFI/CC2301RL_CO_SB22_230115-181819_second_1920_to_1980.png,20Hz,316.0,116.0,340.0,139.0
L:\WhaleMoanDetector\labeled_data\spectrograms\CalCOFI/CC2301RL_CO_SB22_230115-181819_second_1920_to_1980.png,20Hz,550.0,116.0,571.0,139.0
L:\WhaleMoanDetector\labeled_data\spectrograms\CalCOFI/CC2301RL_CO_SB22_230115-181819_second_1980_to_2040.png,20Hz,184.0,119.0,206.0,138.0
L:\WhaleMoanDetector\labeled_data\spectrograms\CalCOFI/CC2301RL_CO_SB22_230115-181819_second_1980_to_2040.png,20Hz,422.0,119.0,439.0,136.0
L:\WhaleMoanDetector\labeled_data\spectrograms\CalCOFI/CC2301RL_CO_SB22_230115-181819_second_2040_to_2100.png,20Hz,56.0,122.0,78.0,136.0
L:\WhaleMoanDetector\labeled_data\spectrograms\CalCOFI/CC2301RL_CO_SB22_230115-181819_second_2040_to_2100.png,B,202.0,102.0,277.0,136.0
L:\WhaleMoanDetector\labeled_data\spectrograms\CalCOFI/CC2301RL_CO_SB22_230115-181819_second_2040_to_2100.png,20Hz,292.0,122.0,315.0,139.0
L:\WhaleMoanDetector\labeled_data\spectrograms\CalCOFI/CC2301RL_CO_SB22_230115-181819_second_2040_to_2100.png,20Hz,526.0,118.0,548.0,140.0
L:\WhaleMoanDetector\labeled_data\spectrograms\CalCOFI/CC2301RL_CO_SB22_230115-181819_second_2100_to_2160.png,B,4.0,97.0,197.0,140.0
L:\WhaleMoanDetector\labeled_data\spectrograms\CalCOFI/CC2301RL_CO_SB22_230115-181819_second_2100_to_2160.png,20Hz,398.0,120.0,421.0,138.0
L:\WhaleMoanDetector\labeled_data\spectrograms\CalCOFI/CC2301RL_CO_SB22_230115-181819_second_2160_to_2220.png,B,26.0,119.0,49.0,139.0
L:\WhaleMoanDetector\labeled_data\spectrograms\CalCOFI/CC2301RL_CO_SB22_230115-181819_second_2160_to_2220.png,B,255.0,119.0,276.0,138.0
