spectrogram_path,label,xmin,ymin,xmax,ymax
L:\WhaleMoanDetector\labeled_data\spectrograms\CalCOFI/CC2307SR_CO_SB13_230709-140000_second_0_to_60.png,,,,,
L:\WhaleMoanDetector\labeled_data\spectrograms\CalCOFI/CC2307SR_CO_SB13_230709-140000_second_60_to_120.png,,,,,
L:\WhaleMoanDetector\labeled_data\spectrograms\CalCOFI/CC2307SR_CO_SB13_230709-140000_second_120_to_180.png,,,,,
L:\WhaleMoanDetector\labeled_data\spectrograms\CalCOFI/CC2307SR_CO_SB13_230709-140000_second_180_to_240.png,,,,,
L:\WhaleMoanDetector\labeled_data\spectrograms\CalCOFI/CC2307SR_CO_SB13_230709-140000_second_240_to_300.png,,,,,
L:\WhaleMoanDetector\labeled_data\spectrograms\CalCOFI/CC2307SR_CO_SB13_230709-140000_second_300_to_360.png,B,140.0,98.0,276.0,132.0
L:\WhaleMoanDetector\labeled_data\spectrograms\CalCOFI/CC2307SR_CO_SB13_230709-140000_second_300_to_360.png,D,567.0,85.0,601.0,136.0
L:\WhaleMoanDetector\labeled_data\spectrograms\CalCOFI/CC2307SR_CO_SB13_230709-140000_second_420_to_480.png,D,175.0,67.0,209.0,126.0
L:\WhaleMoanDetector\labeled_data\spectrograms\CalCOFI/CC2307SR_CO_SB13_230709-140000_second_480_to_540.png,,,,,
L:\WhaleMoanDetector\labeled_data\spectrograms\CalCOFI/CC2307SR_CO_SB13_230709-140000_second_540_to_600.png,,,,,
L:\WhaleMoanDetector\labeled_data\spectrograms\CalCOFI/CC2307SR_CO_SB13_230709-140000_second_600_to_660.png,,,,,
L:\WhaleMoanDetector\labeled_data\spectrograms\CalCOFI/CC2307SR_CO_SB13_230709-140000_second_660_to_720.png,,,,,
L:\WhaleMoanDetector\labeled_data\spectrograms\CalCOFI/CC2307SR_CO_SB13_230709-140000_second_720_to_780.png,,,,,
L:\WhaleMoanDetector\labeled_data\spectrograms\CalCOFI/CC2307SR_CO_SB13_230709-140000_second_780_to_840.png,B,0.0,99.0,112.0,131.0
