spectrogram_path,label,xmin,ymin,xmax,ymax
L:\WhaleMoanDetector\labeled_data\spectrograms\CalCOFI/CO20150203-205936_second_0_to_60.png,,,,,
L:\WhaleMoanDetector\labeled_data\spectrograms\CalCOFI/CO20150203-205936_second_60_to_120.png,,,,,
L:\WhaleMoanDetector\labeled_data\spectrograms\CalCOFI/CO20150203-205936_second_120_to_180.png,,,,,
L:\WhaleMoanDetector\labeled_data\spectrograms\CalCOFI/CO20150203-205936_second_180_to_240.png,,,,,
L:\WhaleMoanDetector\labeled_data\spectrograms\CalCOFI/CO20150203-205936_second_240_to_300.png,,,,,
L:\WhaleMoanDetector\labeled_data\spectrograms\CalCOFI/CO20150203-205936_second_300_to_360.png,,,,,
L:\WhaleMoanDetector\labeled_data\spectrograms\CalCOFI/CO20150203-205936_second_360_to_420.png,,,,,
L:\WhaleMoanDetector\labeled_data\spectrograms\CalCOFI/CO20150203-205936_second_420_to_480.png,,,,,
L:\WhaleMoanDetector\labeled_data\spectrograms\CalCOFI/CO20150203-205936_second_480_to_540.png,,,,,
L:\WhaleMoanDetector\labeled_data\spectrograms\CalCOFI/CO20150203-205936_second_540_to_600.png,,,,,
L:\WhaleMoanDetector\labeled_data\spectrograms\CalCOFI/CO20150203-205936_second_600_to_660.png,,,,,
L:\WhaleMoanDetector\labeled_data\spectrograms\CalCOFI/CO20150203-205936_second_660_to_720.png,20Hz,490.0,121.0,503.0,135.0
L:\WhaleMoanDetector\labeled_data\spectrograms\CalCOFI/CO20150203-205936_second_720_to_780.png,,,,,
L:\WhaleMoanDetector\labeled_data\spectrograms\CalCOFI/CO20150203-205936_second_780_to_840.png,,,,,
L:\WhaleMoanDetector\labeled_data\spectrograms\CalCOFI/CO20150203-205936_second_840_to_900.png,,,,,
L:\WhaleMoanDetector\labeled_data\spectrograms\CalCOFI/CO20150203-205936_second_900_to_960.png,,,,,
L:\WhaleMoanDetector\labeled_data\spectrograms\CalCOFI/CO20150203-205936_second_960_to_1020.png,,,,,
L:\WhaleMoanDetector\labeled_data\spectrograms\CalCOFI/CO20150203-205936_second_1020_to_1080.png,,,,,
L:\WhaleMoanDetector\labeled_data\spectrograms\CalCOFI/CO20150203-205936_second_1080_to_1140.png,,,,,
