spectrogram_path,label,xmin,ymin,xmax,ymax
..\labeled_data\spectrograms\CalCOFI\preprocessed\CC1708SR_CO_SB02_170802_134340_second_0_to_60.png,B NE Pacific,467,91,598,121
..\labeled_data\spectrograms\CalCOFI\preprocessed\CC1708SR_CO_SB02_170802_134340_second_10_to_70.png,B NE Pacific,367,91,498,121
..\labeled_data\spectrograms\CalCOFI\preprocessed\CC1708SR_CO_SB02_170802_134340_second_20_to_80.png,B NE Pacific,266,91,398,121
..\labeled_data\spectrograms\CalCOFI\preprocessed\CC1708SR_CO_SB02_170802_134340_second_30_to_90.png,B NE Pacific,166,91,298,121
..\labeled_data\spectrograms\CalCOFI\preprocessed\CC1708SR_CO_SB02_170802_134340_second_40_to_100.png,B NE Pacific,66,91,197,121
..\labeled_data\spectrograms\CalCOFI\preprocessed\CC1708SR_CO_SB02_170802_134340_second_200_to_260.png,B NE Pacific,398,91,538,121
..\labeled_data\spectrograms\CalCOFI\preprocessed\CC1708SR_CO_SB02_170802_134340_second_210_to_270.png,B NE Pacific,298,91,438,121
..\labeled_data\spectrograms\CalCOFI\preprocessed\CC1708SR_CO_SB02_170802_134340_second_220_to_280.png,B NE Pacific,198,91,338,121
..\labeled_data\spectrograms\CalCOFI\preprocessed\CC1708SR_CO_SB02_170802_134340_second_230_to_290.png,B NE Pacific,98,91,238,121
..\labeled_data\spectrograms\CalCOFI\preprocessed\CC1708SR_CO_SB02_170802_134340_second_730_to_790.png,B NE Pacific,478,85,599,119
..\labeled_data\spectrograms\CalCOFI\preprocessed\CC1708SR_CO_SB02_170802_134340_second_740_to_800.png,B NE Pacific,378,85,499,119
..\labeled_data\spectrograms\CalCOFI\preprocessed\CC1708SR_CO_SB02_170802_134340_second_750_to_810.png,B NE Pacific,278,85,399,119
..\labeled_data\spectrograms\CalCOFI\preprocessed\CC1708SR_CO_SB02_170802_134340_second_760_to_820.png,B NE Pacific,178,85,299,119
..\labeled_data\spectrograms\CalCOFI\preprocessed\CC1708SR_CO_SB02_170802_134340_second_770_to_830.png,B NE Pacific,77,85,198,119
..\labeled_data\spectrograms\CalCOFI\preprocessed\CC1708SR_CO_SB02_170802_140000_second_110_to_170.png,B NE Pacific,384,90,528,120
..\labeled_data\spectrograms\CalCOFI\preprocessed\CC1708SR_CO_SB02_170802_140000_second_120_to_180.png,B NE Pacific,284,90,428,120
..\labeled_data\spectrograms\CalCOFI\preprocessed\CC1708SR_CO_SB02_170802_140000_second_130_to_190.png,B NE Pacific,184,90,328,120
..\labeled_data\spectrograms\CalCOFI\preprocessed\CC1708SR_CO_SB02_170802_140000_second_140_to_200.png,B NE Pacific,84,90,228,120
..\labeled_data\spectrograms\CalCOFI\preprocessed\CC1708SR_CO_SB02_170802_140000_second_720_to_780.png,B NE Pacific,374,92,512,119
..\labeled_data\spectrograms\CalCOFI\preprocessed\CC1708SR_CO_SB02_170802_140000_second_730_to_790.png,B NE Pacific,273,92,412,119
..\labeled_data\spectrograms\CalCOFI\preprocessed\CC1708SR_CO_SB02_170802_140000_second_740_to_800.png,B NE Pacific,173,92,311,119
..\labeled_data\spectrograms\CalCOFI\preprocessed\CC1708SR_CO_SB02_170802_140000_second_750_to_810.png,B NE Pacific,73,92,211,119
..\labeled_data\spectrograms\CalCOFI\preprocessed\CC1708SR_CO_SB02_170802_140000_second_870_to_930.png,B NE Pacific,472,90,598,120
..\labeled_data\spectrograms\CalCOFI\preprocessed\CC1708SR_CO_SB02_170802_140000_second_880_to_940.png,B NE Pacific,372,90,498,120
..\labeled_data\spectrograms\CalCOFI\preprocessed\CC1708SR_CO_SB02_170802_140000_second_890_to_950.png,B NE Pacific,272,90,398,120
..\labeled_data\spectrograms\CalCOFI\preprocessed\CC1708SR_CO_SB02_170802_140000_second_900_to_960.png,B NE Pacific,171,90,298,120
..\labeled_data\spectrograms\CalCOFI\preprocessed\CC1708SR_CO_SB02_170802_140000_second_910_to_970.png,B NE Pacific,71,90,198,120
..\labeled_data\spectrograms\CalCOFI\preprocessed\CC1708SR_CO_SB02_170802_140000_second_1140_to_1200.png,B NE Pacific,411,86,542,119
..\labeled_data\spectrograms\CalCOFI\preprocessed\CC1708SR_CO_SB02_170802_140000_second_1150_to_1210.png,B NE Pacific,311,86,442,119
..\labeled_data\spectrograms\CalCOFI\preprocessed\CC1708SR_CO_SB02_170802_140000_second_1160_to_1220.png,B NE Pacific,211,86,342,119
..\labeled_data\spectrograms\CalCOFI\preprocessed\CC1708SR_CO_SB02_170802_140000_second_1170_to_1230.png,B NE Pacific,110,86,242,119
..\labeled_data\spectrograms\CalCOFI\preprocessed\CC1708SR_CO_SB02_170802_140000_second_1180_to_1240.png,B NE Pacific,10,86,142,119
..\labeled_data\spectrograms\CalCOFI\preprocessed\CC1708SR_CO_SB04_170802_222031_second_50_to_110.png,B NE Pacific,425,93,551,120
..\labeled_data\spectrograms\CalCOFI\preprocessed\CC1708SR_CO_SB04_170802_222031_second_60_to_120.png,B NE Pacific,325,93,451,120
..\labeled_data\spectrograms\CalCOFI\preprocessed\CC1708SR_CO_SB04_170802_222031_second_70_to_130.png,B NE Pacific,224,93,350,120
..\labeled_data\spectrograms\CalCOFI\preprocessed\CC1708SR_CO_SB04_170802_222031_second_80_to_140.png,B NE Pacific,124,93,250,120
..\labeled_data\spectrograms\CalCOFI\preprocessed\CC1708SR_CO_SB04_170802_222031_second_90_to_150.png,B NE Pacific,24,93,150,120
..\labeled_data\spectrograms\CalCOFI\preprocessed\CC1708SR_CO_SB04_170802_222031_second_550_to_610.png,B NE Pacific,454,93,576,119
..\labeled_data\spectrograms\CalCOFI\preprocessed\CC1708SR_CO_SB04_170802_222031_second_560_to_620.png,B NE Pacific,354,93,476,119
