spectrogram_path,label,xmin,ymin,xmax,ymax
..\labeled_data\spectrograms\CalCOFI\preprocessed\CC1708SR_CO_SB02_170802_134340_second_0_to_60.png,B NE Pacific,467,91,598,121
..\labeled_data\spectrograms\CalCOFI\preprocessed\CC1708SR_CO_SB02_170802_134340_second_30_to_90.png,B NE Pacific,166,91,298,121
..\labeled_data\spectrograms\CalCOFI\preprocessed\CC1708SR_CO_SB02_170802_134340_second_210_to_270.png,B NE Pacific,298,91,438,121
..\labeled_data\spectrograms\CalCOFI\preprocessed\CC1708SR_CO_SB02_170802_134340_second_750_to_810.png,B NE Pacific,278,85,399,119
..\labeled_data\spectrograms\CalCOFI\preprocessed\CC1708SR_CO_SB02_170802_140000_second_120_to_180.png,B NE Pacific,284,90,428,120
..\labeled_data\spectrograms\CalCOFI\preprocessed\CC1708SR_CO_SB02_170802_140000_second_720_to_780.png,B NE Pacific,374,92,512,119
..\labeled_data\spectrograms\CalCOFI\preprocessed\CC1708SR_CO_SB02_170802_140000_second_750_to_810.png,B NE Pacific,73,92,211,119
..\labeled_data\spectrograms\CalCOFI\preprocessed\CC1708SR_CO_SB02_170802_140000_second_870_to_930.png,B NE Pacific,472,90,598,120
..\labeled_data\spectrograms\CalCOFI\preprocessed\CC1708SR_CO_SB02_170802_140000_second_900_to_960.png,B NE Pacific,171,90,298,120
..\labeled_data\spectrograms\CalCOFI\preprocessed\CC1708SR_CO_SB02_170802_140000_second_1140_to_1200.png,B NE Pacific,411,86,542,119
..\labeled_data\spectrograms\CalCOFI\preprocessed\CC1708SR_CO_SB02_170802_140000_second_1170_to_1230.png,B NE Pacific,110,86,242,119
..\labeled_data\spectrograms\CalCOFI\preprocessed\CC1708SR_CO_SB04_170802_222031_second_60_to_120.png,B NE Pacific,325,93,451,120
..\labeled_data\spectrograms\CalCOFI\preprocessed\CC1708SR_CO_SB04_170802_222031_second_90_to_150.png,B NE Pacific,24,93,150,120
