spectrogram_path,label,xmin,ymin,xmax,ymax
..\labeled_data\spectrograms\HARP\CINMS19B_d06_121030_215730.d100.x_second_180150_to_180210.png,D,382,82,424,118
..\labeled_data\spectrograms\HARP\CINMS19B_d06_121030_215730.d100.x_second_180180_to_180240.png,D,82,82,123,118
..\labeled_data\spectrograms\HARP\CINMS19B_d06_121030_215730.d100.x_second_222150_to_222210.png,40Hz,477,96,493,119
..\labeled_data\spectrograms\HARP\CINMS19B_d06_121030_215730.d100.x_second_222180_to_222240.png,40Hz,177,96,193,119
..\labeled_data\spectrograms\HARP\CINMS19B_d06_121030_215730.d100.x_second_247140_to_247200.png,D,521,74,559,115
..\labeled_data\spectrograms\HARP\CINMS19B_d06_121030_215730.d100.x_second_247170_to_247230.png,D,220,74,258,115
..\labeled_data\spectrograms\HARP\CINMS19B_d06_121030_215730.d100.x_second_254310_to_254370.png,D,561,85,598,124
..\labeled_data\spectrograms\HARP\CINMS19B_d06_121030_215730.d100.x_second_254340_to_254400.png,D,260,85,297,124
..\labeled_data\spectrograms\HARP\CINMS19B_d06_121030_215730.d100.x_second_273120_to_273180.png,D,511,81,554,123
..\labeled_data\spectrograms\HARP\CINMS19B_d06_121030_215730.d100.x_second_273150_to_273210.png,D,211,81,253,123
..\labeled_data\spectrograms\HARP\CINMS19B_d06_121030_215730.d100.x_second_273630_to_273690.png,40Hz,318,90,340,108
..\labeled_data\spectrograms\HARP\CINMS19B_d06_121030_215730.d100.x_second_273660_to_273720.png,40Hz,18,90,39,108
..\labeled_data\spectrograms\HARP\CINMS19B_d06_121030_215730.d100.x_second_277050_to_277110.png,D,417,74,448,118
..\labeled_data\spectrograms\HARP\CINMS19B_d06_121030_215730.d100.x_second_277080_to_277140.png,D,117,74,148,118
..\labeled_data\spectrograms\HARP\CINMS19B_d06_121030_215730.d100.x_second_278340_to_278400.png,D,527,83,567,116
..\labeled_data\spectrograms\HARP\CINMS19B_d06_121030_215730.d100.x_second_278370_to_278430.png,D,226,83,267,116
..\labeled_data\spectrograms\HARP\CINMS19B_d06_121030_215730.d100.x_second_286650_to_286710.png,D,401,80,439,121
..\labeled_data\spectrograms\HARP\CINMS19B_d06_121030_215730.d100.x_second_286680_to_286740.png,D,101,80,138,121
..\labeled_data\spectrograms\HARP\CINMS19B_d06_121030_215730.d100.x_second_286740_to_286800.png,D,401,83,431,107
..\labeled_data\spectrograms\HARP\CINMS19B_d06_121030_215730.d100.x_second_286770_to_286830.png,D,101,83,130,107
..\labeled_data\spectrograms\HARP\CINMS19B_d06_121030_215730.d100.x_second_286770_to_286830.png,D,373,83,416,113
..\labeled_data\spectrograms\HARP\CINMS19B_d06_121030_215730.d100.x_second_286800_to_286860.png,D,73,83,115,113
..\labeled_data\spectrograms\HARP\CINMS19B_d06_121030_215730.d100.x_second_286800_to_286860.png,D,350,85,399,114
..\labeled_data\spectrograms\HARP\CINMS19B_d06_121030_215730.d100.x_second_286830_to_286890.png,D,50,85,98,114
..\labeled_data\spectrograms\HARP\CINMS19B_d06_121030_215730.d100.x_second_286890_to_286950.png,D,337,84,378,122
..\labeled_data\spectrograms\HARP\CINMS19B_d06_121030_215730.d100.x_second_286920_to_286980.png,D,36,84,77,122
..\labeled_data\spectrograms\HARP\CINMS19B_d06_121030_215730.d100.x_second_287670_to_287730.png,D,406,87,434,123
..\labeled_data\spectrograms\HARP\CINMS19B_d06_121030_215730.d100.x_second_287700_to_287760.png,D,105,87,134,123
..\labeled_data\spectrograms\HARP\CINMS19B_d06_121030_215730.d100.x_second_287730_to_287790.png,D,449,85,494,116
..\labeled_data\spectrograms\HARP\CINMS19B_d06_121030_215730.d100.x_second_287760_to_287820.png,D,149,85,193,116
..\labeled_data\spectrograms\HARP\CINMS19B_d06_121030_215730.d100.x_second_288030_to_288090.png,D,472,91,507,126
..\labeled_data\spectrograms\HARP\CINMS19B_d06_121030_215730.d100.x_second_288060_to_288120.png,D,172,91,206,126
