spectrogram_path,label,xmin,ymin,xmax,ymax
..\labeled_data\spectrograms\HARP\SOCAL34N_sitN_090722_200000.x_second_390_to_450.png,D,314,78,377,129
..\labeled_data\spectrograms\HARP\SOCAL34N_sitN_090722_200000.x_second_390_to_450.png,D,402,85,446,126
..\labeled_data\spectrograms\HARP\SOCAL34N_sitN_090722_200000.x_second_420_to_480.png,D,13,78,76,129
..\labeled_data\spectrograms\HARP\SOCAL34N_sitN_090722_200000.x_second_420_to_480.png,D,101,85,145,126
..\labeled_data\spectrograms\HARP\SOCAL34N_sitN_090722_200000.x_second_480_to_540.png,D,548,79,581,125
..\labeled_data\spectrograms\HARP\SOCAL34N_sitN_090722_200000.x_second_510_to_570.png,D,247,79,280,125
..\labeled_data\spectrograms\HARP\SOCAL34N_sitN_090722_200000.x_second_540_to_600.png,D,451,65,489,123
..\labeled_data\spectrograms\HARP\SOCAL34N_sitN_090722_200000.x_second_570_to_630.png,D,150,65,188,123
..\labeled_data\spectrograms\HARP\SOCAL34N_sitN_090722_200000.x_second_570_to_630.png,D,550,73,582,115
..\labeled_data\spectrograms\HARP\SOCAL34N_sitN_090722_200000.x_second_600_to_660.png,D,249,73,281,115
..\labeled_data\spectrograms\HARP\SOCAL34N_sitN_090722_200000.x_second_750_to_810.png,40Hz,556,60,575,96
..\labeled_data\spectrograms\HARP\SOCAL34N_sitN_090722_200000.x_second_780_to_840.png,40Hz,255,60,275,96
..\labeled_data\spectrograms\HARP\SOCAL34N_sitN_090722_200000.x_second_1320_to_1380.png,D,430,72,474,113
..\labeled_data\spectrograms\HARP\SOCAL34N_sitN_090722_200000.x_second_1350_to_1410.png,D,129,72,173,113
..\labeled_data\spectrograms\HARP\SOCAL34N_sitN_090722_200000.x_second_1380_to_1440.png,D,383,73,424,107
..\labeled_data\spectrograms\HARP\SOCAL34N_sitN_090722_200000.x_second_1410_to_1470.png,D,83,73,124,107
..\labeled_data\spectrograms\HARP\SOCAL34N_sitN_090722_200000.x_second_1410_to_1470.png,D,556,65,587,108
..\labeled_data\spectrograms\HARP\SOCAL34N_sitN_090722_200000.x_second_1440_to_1500.png,D,255,65,287,108
..\labeled_data\spectrograms\HARP\SOCAL34N_sitN_090722_200000.x_second_1440_to_1500.png,D,363,69,399,102
..\labeled_data\spectrograms\HARP\SOCAL34N_sitN_090722_200000.x_second_1470_to_1530.png,D,63,69,99,102
