spectrogram_path,label,xmin,ymin,xmax,ymax
L:\WhaleMoanDetector\labeled_data\spectrograms\HARP/SOCAL_H_65_180709_051300_df100.x_second_0_to_60.png,,,,,
L:\WhaleMoanDetector\labeled_data\spectrograms\HARP/SOCAL_H_65_180709_051300_df100.x_second_60_to_120.png,,,,,
L:\WhaleMoanDetector\labeled_data\spectrograms\HARP/SOCAL_H_65_180709_051300_df100.x_second_120_to_180.png,D,550,61,591,116
L:\WhaleMoanDetector\labeled_data\spectrograms\HARP/SOCAL_H_65_180709_051300_df100.x_second_180_to_240.png,A,0,62,151,78
L:\WhaleMoanDetector\labeled_data\spectrograms\HARP/SOCAL_H_65_180709_051300_df100.x_second_180_to_240.png,D,130,83,181,113
L:\WhaleMoanDetector\labeled_data\spectrograms\HARP/SOCAL_H_65_180709_051300_df100.x_second_180_to_240.png,B,430,95,601,130
L:\WhaleMoanDetector\labeled_data\spectrograms\HARP/SOCAL_H_65_180709_051300_df100.x_second_240_to_300.png,B,0,95,101,130
L:\WhaleMoanDetector\labeled_data\spectrograms\HARP/SOCAL_H_65_180709_051300_df100.x_second_240_to_300.png,20Hz,320,130,351,140
L:\WhaleMoanDetector\labeled_data\spectrograms\HARP/SOCAL_H_65_180709_051300_df100.x_second_240_to_300.png,40Hz,420,86,441,100
L:\WhaleMoanDetector\labeled_data\spectrograms\HARP/SOCAL_H_65_180709_051300_df100.x_second_240_to_300.png,20Hz,430,131,461,140
L:\WhaleMoanDetector\labeled_data\spectrograms\HARP/SOCAL_H_65_180709_051300_df100.x_second_240_to_300.png,20Hz,480,130,511,139
L:\WhaleMoanDetector\labeled_data\spectrograms\HARP/SOCAL_H_65_180709_051300_df100.x_second_240_to_300.png,B,490,98,601,140
L:\WhaleMoanDetector\labeled_data\spectrograms\HARP/SOCAL_H_65_180709_051300_df100.x_second_300_to_360.png,B,0,98,21,140
L:\WhaleMoanDetector\labeled_data\spectrograms\HARP/SOCAL_H_65_180709_051300_df100.x_second_300_to_360.png,D,60,51,91,95
L:\WhaleMoanDetector\labeled_data\spectrograms\HARP/SOCAL_H_65_180709_051300_df100.x_second_300_to_360.png,A,160,64,321,79
L:\WhaleMoanDetector\labeled_data\spectrograms\HARP/SOCAL_H_65_180709_051300_df100.x_second_300_to_360.png,D,430,67,481,104
L:\WhaleMoanDetector\labeled_data\spectrograms\HARP/SOCAL_H_65_180709_051300_df100.x_second_360_to_420.png,B,20,103,221,135
L:\WhaleMoanDetector\labeled_data\spectrograms\HARP/SOCAL_H_65_180709_051300_df100.x_second_360_to_420.png,B,260,97,451,127
L:\WhaleMoanDetector\labeled_data\spectrograms\HARP/SOCAL_H_65_180709_051300_df100.x_second_360_to_420.png,B,260,104,281,105
L:\WhaleMoanDetector\labeled_data\spectrograms\HARP/SOCAL_H_65_180709_051300_df100.x_second_420_to_480.png,D,90,52,141,111
L:\WhaleMoanDetector\labeled_data\spectrograms\HARP/SOCAL_H_65_180709_051300_df100.x_second_480_to_540.png,D,120,86,161,113
L:\WhaleMoanDetector\labeled_data\spectrograms\HARP/SOCAL_H_65_180709_051300_df100.x_second_480_to_540.png,D,260,69,291,100
L:\WhaleMoanDetector\labeled_data\spectrograms\HARP/SOCAL_H_65_180709_051300_df100.x_second_480_to_540.png,A,350,61,521,79
L:\WhaleMoanDetector\labeled_data\spectrograms\HARP/SOCAL_H_65_180709_051300_df100.x_second_480_to_540.png,B,380,103,601,134
L:\WhaleMoanDetector\labeled_data\spectrograms\HARP/SOCAL_H_65_180709_051300_df100.x_second_480_to_540.png,D,500,81,541,107
L:\WhaleMoanDetector\labeled_data\spectrograms\HARP/SOCAL_H_65_180709_051300_df100.x_second_540_to_600.png,B,220,100,421,139
L:\WhaleMoanDetector\labeled_data\spectrograms\HARP/SOCAL_H_65_180709_051300_df100.x_second_540_to_600.png,D,230,71,291,123
L:\WhaleMoanDetector\labeled_data\spectrograms\HARP/SOCAL_H_65_180709_051300_df100.x_second_540_to_600.png,D,380,70,421,124
L:\WhaleMoanDetector\labeled_data\spectrograms\HARP/SOCAL_H_65_180709_051300_df100.x_second_540_to_600.png,B,450,94,551,131
L:\WhaleMoanDetector\labeled_data\spectrograms\HARP/SOCAL_H_65_180709_051300_df100.x_second_540_to_600.png,D,540,72,591,112
L:\WhaleMoanDetector\labeled_data\spectrograms\HARP/SOCAL_H_65_180709_051300_df100.x_second_600_to_660.png,D,170,74,231,116
L:\WhaleMoanDetector\labeled_data\spectrograms\HARP/SOCAL_H_65_180709_051300_df100.x_second_600_to_660.png,A,390,62,561,79
L:\WhaleMoanDetector\labeled_data\spectrograms\HARP/SOCAL_H_65_180709_051300_df100.x_second_600_to_660.png,D,450,75,501,113
L:\WhaleMoanDetector\labeled_data\spectrograms\HARP/SOCAL_H_65_180709_051300_df100.x_second_600_to_660.png,D,530,79,571,115
L:\WhaleMoanDetector\labeled_data\spectrograms\HARP/SOCAL_H_65_180709_051300_df100.x_second_660_to_720.png,D,50,78,101,113
L:\WhaleMoanDetector\labeled_data\spectrograms\HARP/SOCAL_H_65_180709_051300_df100.x_second_660_to_720.png,20Hz,80,131,111,140
L:\WhaleMoanDetector\labeled_data\spectrograms\HARP/SOCAL_H_65_180709_051300_df100.x_second_660_to_720.png,D,210,76,261,119
L:\WhaleMoanDetector\labeled_data\spectrograms\HARP/SOCAL_H_65_180709_051300_df100.x_second_660_to_720.png,B,280,103,451,134
