spectrogram_path,label,xmin,ymin,xmax,ymax
..\labeled_data\spectrograms\HARP\preprocessed\CINMS17B_d03_111202_012730.d100.x_second_107130_to_107190.png,D,310,86,338,119
..\labeled_data\spectrograms\HARP\preprocessed\CINMS17B_d03_111202_012730.d100.x_second_107160_to_107220.png,D,10,86,38,119
..\labeled_data\spectrograms\HARP\preprocessed\CINMS17B_d03_111202_012730.d100.x_second_362010_to_362070.png,40Hz,460,98,475,111
..\labeled_data\spectrograms\HARP\preprocessed\CINMS17B_d03_111202_012730.d100.x_second_362040_to_362100.png,40Hz,160,98,175,111
..\labeled_data\spectrograms\HARP\preprocessed\CINMS17B_d03_111202_012730.d100.x_second_362310_to_362370.png,40Hz,360,73,383,113
..\labeled_data\spectrograms\HARP\preprocessed\CINMS17B_d03_111202_012730.d100.x_second_362340_to_362400.png,40Hz,60,73,83,113
..\labeled_data\spectrograms\HARP\preprocessed\CINMS17B_d03_111202_012730.d100.x_second_362460_to_362520.png,40Hz,420,75,440,107
..\labeled_data\spectrograms\HARP\preprocessed\CINMS17B_d03_111202_012730.d100.x_second_362490_to_362550.png,40Hz,120,75,139,107
..\labeled_data\spectrograms\HARP\preprocessed\CINMS17B_d03_111202_012730.d100.x_second_362700_to_362760.png,40Hz,380,78,399,116
..\labeled_data\spectrograms\HARP\preprocessed\CINMS17B_d03_111202_012730.d100.x_second_362730_to_362790.png,40Hz,80,78,98,116
..\labeled_data\spectrograms\HARP\preprocessed\CINMS17B_d03_111202_012730.d100.x_second_362790_to_362850.png,40Hz,530,80,550,111
..\labeled_data\spectrograms\HARP\preprocessed\CINMS17B_d03_111202_012730.d100.x_second_362820_to_362880.png,40Hz,230,80,249,111
..\labeled_data\spectrograms\HARP\preprocessed\CINMS17B_d03_111202_012730.d100.x_second_364020_to_364080.png,40Hz,470,86,493,108
..\labeled_data\spectrograms\HARP\preprocessed\CINMS17B_d03_111202_012730.d100.x_second_364050_to_364110.png,40Hz,170,86,192,108
..\labeled_data\spectrograms\HARP\preprocessed\CINMS17B_d03_111202_012730.d100.x_second_364170_to_364230.png,40Hz,470,82,483,105
..\labeled_data\spectrograms\HARP\preprocessed\CINMS17B_d03_111202_012730.d100.x_second_364200_to_364260.png,40Hz,170,82,183,105
..\labeled_data\spectrograms\HARP\preprocessed\CINMS17B_d03_111202_012730.d100.x_second_364290_to_364350.png,40Hz,401,82,415,103
..\labeled_data\spectrograms\HARP\preprocessed\CINMS17B_d03_111202_012730.d100.x_second_364320_to_364380.png,40Hz,100,82,114,103
..\labeled_data\spectrograms\HARP\preprocessed\CINMS17B_d03_111202_012730.d100.x_second_365040_to_365100.png,40Hz,347,92,364,107
..\labeled_data\spectrograms\HARP\preprocessed\CINMS17B_d03_111202_012730.d100.x_second_365070_to_365130.png,40Hz,46,92,63,107
..\labeled_data\spectrograms\HARP\preprocessed\CINMS17B_d03_111202_012730.d100.x_second_365070_to_365130.png,40Hz,430,84,455,105
..\labeled_data\spectrograms\HARP\preprocessed\CINMS17B_d03_111202_012730.d100.x_second_365100_to_365160.png,40Hz,130,84,155,105
..\labeled_data\spectrograms\HARP\preprocessed\CINMS17B_d03_111202_012730.d100.x_second_365160_to_365220.png,40Hz,525,87,541,104
..\labeled_data\spectrograms\HARP\preprocessed\CINMS17B_d03_111202_012730.d100.x_second_365190_to_365250.png,40Hz,225,87,241,104
..\labeled_data\spectrograms\HARP\preprocessed\CINMS17B_d03_111202_012730.d100.x_second_365190_to_365250.png,40Hz,580,87,595,104
..\labeled_data\spectrograms\HARP\preprocessed\CINMS17B_d03_111202_012730.d100.x_second_365220_to_365280.png,40Hz,279,87,295,104
..\labeled_data\spectrograms\HARP\preprocessed\CINMS17B_d03_111202_012730.d100.x_second_365280_to_365340.png,40Hz,300,87,319,107
..\labeled_data\spectrograms\HARP\preprocessed\CINMS17B_d03_111202_012730.d100.x_second_365310_to_365370.png,40Hz,0,87,18,107
..\labeled_data\spectrograms\HARP\preprocessed\CINMS17B_d03_111202_012730.d100.x_second_365340_to_365400.png,40Hz,533,87,555,104
..\labeled_data\spectrograms\HARP\preprocessed\CINMS17B_d03_111202_012730.d100.x_second_365370_to_365430.png,40Hz,232,87,254,104
..\labeled_data\spectrograms\HARP\preprocessed\CINMS17B_d03_111202_012730.d100.x_second_365400_to_365460.png,40Hz,568,86,585,100
