spectrogram_path,label,xmin,ymin,xmax,ymax
..\labeled_data\spectrograms\HARP\preprocessed\DCPP01A_d01_121109_191242.d100.x_second_22410_to_22470.png,D,291,72,323,117
..\labeled_data\spectrograms\HARP\preprocessed\DCPP01A_d01_121109_191242.d100.x_second_22830_to_22890.png,D,437,79,468,126
..\labeled_data\spectrograms\HARP\preprocessed\DCPP01A_d01_121109_191242.d100.x_second_22860_to_22920.png,D,136,79,167,126
..\labeled_data\spectrograms\HARP\preprocessed\DCPP01A_d01_121109_191242.d100.x_second_22890_to_22950.png,D,479,87,514,123
..\labeled_data\spectrograms\HARP\preprocessed\DCPP01A_d01_121109_191242.d100.x_second_22920_to_22980.png,D,179,87,214,123
..\labeled_data\spectrograms\HARP\preprocessed\DCPP01A_d01_121109_191242.d100.x_second_23280_to_23340.png,D,421,74,452,124
..\labeled_data\spectrograms\HARP\preprocessed\DCPP01A_d01_121109_191242.d100.x_second_23310_to_23370.png,D,120,74,152,124
..\labeled_data\spectrograms\HARP\preprocessed\DCPP01A_d01_121109_191242.d100.x_second_23460_to_23520.png,D,440,83,468,115
..\labeled_data\spectrograms\HARP\preprocessed\DCPP01A_d01_121109_191242.d100.x_second_23490_to_23550.png,D,140,83,168,115
..\labeled_data\spectrograms\HARP\preprocessed\DCPP01A_d01_121109_191242.d100.x_second_23670_to_23730.png,D,428,80,464,121
..\labeled_data\spectrograms\HARP\preprocessed\DCPP01A_d01_121109_191242.d100.x_second_23700_to_23760.png,D,127,80,163,121
..\labeled_data\spectrograms\HARP\preprocessed\DCPP01A_d01_121109_191242.d100.x_second_23730_to_23790.png,D,394,75,424,110
..\labeled_data\spectrograms\HARP\preprocessed\DCPP01A_d01_121109_191242.d100.x_second_23760_to_23820.png,D,94,75,124,110
..\labeled_data\spectrograms\HARP\preprocessed\DCPP01A_d01_121109_191242.d100.x_second_23850_to_23910.png,D,420,82,446,116
..\labeled_data\spectrograms\HARP\preprocessed\DCPP01A_d01_121109_191242.d100.x_second_23880_to_23940.png,D,119,82,145,116
..\labeled_data\spectrograms\HARP\preprocessed\DCPP01A_d01_121109_191242.d100.x_second_24150_to_24210.png,D,364,74,394,121
..\labeled_data\spectrograms\HARP\preprocessed\DCPP01A_d01_121109_191242.d100.x_second_24180_to_24240.png,D,63,74,93,121
..\labeled_data\spectrograms\HARP\preprocessed\DCPP01A_d01_121109_191242.d100.x_second_24210_to_24270.png,D,357,81,405,134
..\labeled_data\spectrograms\HARP\preprocessed\DCPP01A_d01_121109_191242.d100.x_second_24240_to_24300.png,D,56,81,104,134
..\labeled_data\spectrograms\HARP\preprocessed\DCPP01A_d01_121109_191242.d100.x_second_24540_to_24600.png,D,402,82,451,124
..\labeled_data\spectrograms\HARP\preprocessed\DCPP01A_d01_121109_191242.d100.x_second_24570_to_24630.png,D,101,82,150,124
..\labeled_data\spectrograms\HARP\preprocessed\DCPP01A_d01_121109_191242.d100.x_second_25020_to_25080.png,D,363,78,418,128
..\labeled_data\spectrograms\HARP\preprocessed\DCPP01A_d01_121109_191242.d100.x_second_25050_to_25110.png,D,63,78,118,128
..\labeled_data\spectrograms\HARP\preprocessed\DCPP01A_d01_121109_191242.d100.x_second_25050_to_25110.png,D,528,73,568,123
..\labeled_data\spectrograms\HARP\preprocessed\DCPP01A_d01_121109_191242.d100.x_second_25080_to_25140.png,D,227,73,267,123
..\labeled_data\spectrograms\HARP\preprocessed\DCPP01A_d01_121109_191242.d100.x_second_25080_to_25140.png,D,506,65,539,112
..\labeled_data\spectrograms\HARP\preprocessed\DCPP01A_d01_121109_191242.d100.x_second_25110_to_25170.png,D,206,65,238,112
..\labeled_data\spectrograms\HARP\preprocessed\DCPP01A_d01_121109_191242.d100.x_second_26010_to_26070.png,D,429,71,458,113
..\labeled_data\spectrograms\HARP\preprocessed\DCPP01A_d01_121109_191242.d100.x_second_26040_to_26100.png,D,128,71,158,113
..\labeled_data\spectrograms\HARP\preprocessed\DCPP01A_d01_121109_191242.d100.x_second_28710_to_28770.png,D,493,73,523,119
..\labeled_data\spectrograms\HARP\preprocessed\DCPP01A_d01_121109_191242.d100.x_second_28740_to_28800.png,D,192,73,223,119
..\labeled_data\spectrograms\HARP\preprocessed\DCPP01A_d01_121109_191242.d100.x_second_28800_to_28860.png,D,435,73,458,119
..\labeled_data\spectrograms\HARP\preprocessed\DCPP01A_d01_121109_191242.d100.x_second_28830_to_28890.png,D,134,73,157,119
..\labeled_data\spectrograms\HARP\preprocessed\DCPP01A_d01_121109_191242.d100.x_second_28830_to_28890.png,D,325,72,378,125
..\labeled_data\spectrograms\HARP\preprocessed\DCPP01A_d01_121109_191242.d100.x_second_28860_to_28920.png,D,24,72,78,125
..\labeled_data\spectrograms\HARP\preprocessed\DCPP01A_d01_121109_191242.d100.x_second_28860_to_28920.png,D,375,87,413,119
..\labeled_data\spectrograms\HARP\preprocessed\DCPP01A_d01_121109_191242.d100.x_second_28890_to_28950.png,D,74,87,113,119
..\labeled_data\spectrograms\HARP\preprocessed\DCPP01A_d01_121109_191242.d100.x_second_28980_to_29040.png,D,310,74,342,123
..\labeled_data\spectrograms\HARP\preprocessed\DCPP01A_d01_121109_191242.d100.x_second_29010_to_29070.png,D,9,74,41,123
..\labeled_data\spectrograms\HARP\preprocessed\DCPP01A_d01_121109_191242.d100.x_second_29520_to_29580.png,D,535,74,571,124
..\labeled_data\spectrograms\HARP\preprocessed\DCPP01A_d01_121109_191242.d100.x_second_29550_to_29610.png,D,234,74,271,124
..\labeled_data\spectrograms\HARP\preprocessed\DCPP01A_d01_121109_191242.d100.x_second_29580_to_29640.png,D,302,68,332,116
..\labeled_data\spectrograms\HARP\preprocessed\DCPP01A_d01_121109_191242.d100.x_second_29610_to_29670.png,D,1,68,32,116
..\labeled_data\spectrograms\HARP\preprocessed\DCPP01A_d01_121109_191242.d100.x_second_29610_to_29670.png,D,392,74,425,122
..\labeled_data\spectrograms\HARP\preprocessed\DCPP01A_d01_121109_191242.d100.x_second_29640_to_29700.png,D,91,74,125,122
..\labeled_data\spectrograms\HARP\preprocessed\DCPP01A_d01_121109_191242.d100.x_second_29640_to_29700.png,D,395,80,422,116
..\labeled_data\spectrograms\HARP\preprocessed\DCPP01A_d01_121109_191242.d100.x_second_29670_to_29730.png,D,95,80,122,116
..\labeled_data\spectrograms\HARP\preprocessed\DCPP01A_d01_121109_191242.d100.x_second_29670_to_29730.png,D,416,83,441,127
..\labeled_data\spectrograms\HARP\preprocessed\DCPP01A_d01_121109_191242.d100.x_second_29700_to_29760.png,D,115,83,141,127
..\labeled_data\spectrograms\HARP\preprocessed\DCPP01A_d01_121109_191242.d100.x_second_30180_to_30240.png,D,346,72,378,116
..\labeled_data\spectrograms\HARP\preprocessed\DCPP01A_d01_121109_191242.d100.x_second_30210_to_30270.png,D,46,72,77,116
..\labeled_data\spectrograms\HARP\preprocessed\DCPP01A_d01_121109_191242.d100.x_second_30630_to_30690.png,D,556,79,600,119
..\labeled_data\spectrograms\HARP\preprocessed\DCPP01A_d01_121109_191242.d100.x_second_30660_to_30720.png,D,255,79,299,119
..\labeled_data\spectrograms\HARP\preprocessed\DCPP01A_d01_121109_191242.d100.x_second_30750_to_30810.png,D,429,80,459,118
..\labeled_data\spectrograms\HARP\preprocessed\DCPP01A_d01_121109_191242.d100.x_second_30780_to_30840.png,D,129,80,159,118
..\labeled_data\spectrograms\HARP\preprocessed\DCPP01A_d01_121109_191242.d100.x_second_30960_to_31020.png,D,310,79,335,111
..\labeled_data\spectrograms\HARP\preprocessed\DCPP01A_d01_121109_191242.d100.x_second_30990_to_31050.png,D,9,79,35,111
..\labeled_data\spectrograms\HARP\preprocessed\DCPP01A_d01_121109_191242.d100.x_second_30990_to_31050.png,D,400,84,436,123
..\labeled_data\spectrograms\HARP\preprocessed\DCPP01A_d01_121109_191242.d100.x_second_31020_to_31080.png,D,100,84,136,123
..\labeled_data\spectrograms\HARP\preprocessed\DCPP01A_d01_121109_191242.d100.x_second_31080_to_31140.png,D,548,83,578,125
..\labeled_data\spectrograms\HARP\preprocessed\DCPP01A_d01_121109_191242.d100.x_second_31110_to_31170.png,D,248,83,277,125
..\labeled_data\spectrograms\HARP\preprocessed\DCPP01A_d01_121109_191242.d100.x_second_31530_to_31590.png,D,332,67,370,119
..\labeled_data\spectrograms\HARP\preprocessed\DCPP01A_d01_121109_191242.d100.x_second_31560_to_31620.png,D,31,67,69,119
..\labeled_data\spectrograms\HARP\preprocessed\DCPP01A_d01_121109_191242.d100.x_second_31620_to_31680.png,D,297,66,341,123
