spectrogram_path,label,xmin,ymin,xmax,ymax
..\labeled_data\spectrograms\HARP\preprocessed\SOCAL26H_d01_080604_173900.d100.x_second_90_to_150.png,40Hz,380,65,386,92
..\labeled_data\spectrograms\HARP\preprocessed\SOCAL26H_d01_080604_173900.d100.x_second_90_to_150.png,40Hz,378,65,386,92
..\labeled_data\spectrograms\HARP\preprocessed\SOCAL26H_d01_080604_173900.d100.x_second_120_to_180.png,20Hz,380,117,421,135
..\labeled_data\spectrograms\HARP\preprocessed\SOCAL26H_d01_080604_173900.d100.x_second_120_to_180.png,40Hz,80,65,85,92
..\labeled_data\spectrograms\HARP\preprocessed\SOCAL26H_d01_080604_173900.d100.x_second_120_to_180.png,40Hz,375,72,384,94
..\labeled_data\spectrograms\HARP\preprocessed\SOCAL26H_d01_080604_173900.d100.x_second_120_to_180.png,40Hz,77,65,85,92
..\labeled_data\spectrograms\HARP\preprocessed\SOCAL26H_d01_080604_173900.d100.x_second_120_to_180.png,40Hz,375,72,384,94
..\labeled_data\spectrograms\HARP\preprocessed\SOCAL26H_d01_080604_173900.d100.x_second_150_to_210.png,20Hz,80,117,121,135
..\labeled_data\spectrograms\HARP\preprocessed\SOCAL26H_d01_080604_173900.d100.x_second_150_to_210.png,40Hz,74,72,83,94
..\labeled_data\spectrograms\HARP\preprocessed\SOCAL26H_d01_080604_173900.d100.x_second_150_to_210.png,40Hz,74,72,83,94
..\labeled_data\spectrograms\HARP\preprocessed\SOCAL26H_d01_080604_173900.d100.x_second_210_to_270.png,20Hz,430,117,473,134
..\labeled_data\spectrograms\HARP\preprocessed\SOCAL26H_d01_080604_173900.d100.x_second_210_to_270.png,40Hz,391,76,398,96
..\labeled_data\spectrograms\HARP\preprocessed\SOCAL26H_d01_080604_173900.d100.x_second_210_to_270.png,40Hz,391,76,398,96
..\labeled_data\spectrograms\HARP\preprocessed\SOCAL26H_d01_080604_173900.d100.x_second_240_to_300.png,20Hz,130,117,172,134
..\labeled_data\spectrograms\HARP\preprocessed\SOCAL26H_d01_080604_173900.d100.x_second_240_to_300.png,20Hz,274,121,308,133
..\labeled_data\spectrograms\HARP\preprocessed\SOCAL26H_d01_080604_173900.d100.x_second_240_to_300.png,40Hz,90,76,98,96
..\labeled_data\spectrograms\HARP\preprocessed\SOCAL26H_d01_080604_173900.d100.x_second_240_to_300.png,40Hz,355,71,363,92
..\labeled_data\spectrograms\HARP\preprocessed\SOCAL26H_d01_080604_173900.d100.x_second_240_to_300.png,40Hz,90,76,98,96
..\labeled_data\spectrograms\HARP\preprocessed\SOCAL26H_d01_080604_173900.d100.x_second_240_to_300.png,40Hz,355,71,363,92
..\labeled_data\spectrograms\HARP\preprocessed\SOCAL26H_d01_080604_173900.d100.x_second_270_to_330.png,40Hz,54,71,62,92
..\labeled_data\spectrograms\HARP\preprocessed\SOCAL26H_d01_080604_173900.d100.x_second_270_to_330.png,40Hz,473,73,481,95
